N	Z	Q(b3n)
52	35	-16982.135
51	36	-26491.281
50	37	-29086.347
49	38	-35992.28
48	39	-36832.83
47	40	-43673.494
46	41	1010
45	42	-41123.764
44	43	1010
43	44	1010
56	32	-2213.6
55	33	-3412.74
54	34	-10477.097
53	35	-14705.563
52	36	-22438.641
51	37	-26581.543
50	38	-35154.79
49	39	-36345.782
48	40	-42700.672
47	41	-44747.373
46	42	-39195.229
45	43	1010
44	44	1010
57	32	116.38
56	33	-1430.72
55	34	-8417.908
54	35	-10066.098
53	36	-19562.346
52	37	-22294.219
51	38	-31853.769
50	39	-34904.96
49	40	-40930.576
48	41	-41662.22
47	42	1010
46	43	-41168
45	44	1010
44	45	1010
58	32	1558.65
57	33	-83.44
56	34	-6950.699
55	35	-8263.128
54	36	-15349.92
53	37	-19554.503
52	38	-27900.946
51	39	-32238.432
50	40	-40141.366
49	41	-40967.316
48	42	-48634.21
47	43	-36104.894
46	44	1010
45	45	1010
58	33	1866.97
57	34	-4658.37
56	35	-6488.949
55	36	-13332.689
54	37	-14872.929
53	38	-24133.56
52	39	-27725.259
51	40	-36746.282
50	41	-39193.313
49	42	-45864.499
48	43	1010
47	44	-40508
46	45	1010
45	46	1010
59	33	2809.33
58	34	-3964.86
57	35	-4702.485
56	36	-12083.716
55	37	-13601.032
54	38	-20401.658
53	39	-24856.564
52	40	-32950.805
51	41	-36556.488
50	42	-44500.775
49	43	-47049.532
48	44	-40548.114
47	45	1010
46	46	1010
59	34	-1669.43
58	35	-3428.844
57	36	-10015.421
56	37	-11844.547
55	38	-18707.229
54	39	-20543.943
53	40	-29377.719
52	41	-32133.735
51	42	-41046.733
50	43	-43649.474
49	44	1010
48	45	-43037
47	46	1010
46	47	1010
60	34	-727.15
59	35	-1804.24
58	36	-8914.382
57	37	-10057.571
56	38	-17398.866
55	39	-19713.691
54	40	-25582.854
53	41	-29142.214
52	42	-37596.918
51	43	-41031.524
50	44	-49942.138
49	45	-35708.567
48	46	1010
47	47	1010
61	34	965.59
60	35	-125.37
59	36	-6611.381
58	37	-8412.57
57	38	-15524.403
56	39	-17600.372
55	40	-24525.54
54	41	-25065.593
53	42	-33752.208
52	43	-36880.969
51	44	-45844.331
50	45	1010
49	46	-42304
48	47	1010
47	48	1010
61	35	1162.54
60	36	-5861.117
59	37	-6505.616
58	38	-13612.732
57	39	-16367.643
56	40	-23089.633
55	41	-24030.56
54	42	-30196.342
53	43	-33668.242
52	44	-42300.143
51	45	-46742.061
50	46	-43876.523
49	47	1010
48	48	1010
62	35	2237.11
61	36	-3529.141
60	37	-5114.627
59	38	-11586.105
58	39	-13429.503
57	40	-21775.779
56	41	-22151.599
55	42	-28647.238
54	43	-29599.988
53	44	-38306.85
52	45	-41726.271
51	46	1010
50	47	-42802
49	48	1010
48	49	1010
63	35	2573.92
62	36	-3344.34
61	37	-3946.517
60	38	-10220.606
59	39	-11641.216
58	40	-19111.909
57	41	-21056.153
56	42	-27087.217
55	43	-28081.09
54	44	-34992.823
53	45	-38389.587
52	46	-47729.97
51	47	-36156
50	48	1010
49	49	1010
63	36	-2809.35
62	37	-3169.051
61	38	-9400.15
60	39	-9775.356
59	40	-17125.941
58	41	-18399.265
57	42	-25366.954
56	43	-26281.688
55	44	-32885.554
54	45	-34280.805
53	46	-43049.026
52	47	1010
51	48	-43248
50	49	1010
49	50	1010
64	36	-1624.95
63	37	-3092.66
62	38	-9215.046
61	39	-10475.279
60	40	-15758.638
59	41	-17504.444
58	42	-23982.53
57	43	-25055.024
56	44	-31688.169
55	45	-32744.662
54	46	-39311.446
53	47	-44054.183
52	48	-38587.624
51	49	1010
50	50	1010
65	36	130.02
64	37	-1302.79
63	38	-8204.9
62	39	-8983.443
61	40	-15374.1
60	41	-15863.706
59	42	-22226.186
58	43	-23136.6
57	44	-29786.951
56	45	-31085.399
55	46	-37232.823
54	47	-38639.858
53	48	-33569
52	49	-41679.69
51	50	1010
65	37	-514.18
64	38	-6661.6
63	39	-9059.414
62	40	-14233.913
61	41	-15483.398
60	42	-21134.153
59	43	-22061.039
58	44	-28640.793
57	45	-29590.242
56	46	-36086.672
55	47	-36894.01
54	48	-35462.199
53	49	-32688.41
52	50	1010
66	37	1512
65	38	-5284.23
64	39	-6897.289
63	40	-13178.707
62	41	-13883.377
61	42	-20087.304
60	43	-20415.292
59	44	-26620.515
58	45	-27803.81
57	46	-34300.382
56	47	-35213.555
55	48	1010
54	49	-35221.52
53	50	1010
52	51	1010
66	38	-3946.4
65	39	-6073.55
64	40	-11538.878
63	41	-13298.768
62	42	-18926.918
61	43	-19528.181
60	44	-25843.292
59	45	-26554.886
58	46	-32915.543
57	47	-34328.267
56	48	-40480.121
55	49	-29967.553
54	50	1010
53	51	1010
67	38	-2453.05
66	39	-4201.79
65	40	-10445.58
64	41	-10997.867
63	42	-17850.159
62	43	-18266.041
61	44	-24072.915
60	45	-24945.072
59	46	-31289.32
58	47	-32343.731
57	48	-38763.816
56	49	1010
55	50	-37552.896
54	51	1010
53	52	1010
68	38	-1228.09
67	39	-3333.9
66	40	-8778.89
65	41	-10447.594
64	42	-16358.825
63	43	-17385.24
62	44	-23452.075
61	45	-23978.934
60	46	-29972.472
59	47	-31203.667
58	48	-37620.503
57	49	-38602.102
56	50	-36506.769
55	51	1010
54	52	1010
69	38	188.27
68	39	-1525.41
67	40	-7543.66
66	41	-8128.932
65	42	-14980.976
64	43	-15494.452
63	44	-21688.235
62	45	-22518.278
61	46	-28471.872
60	47	-29445.247
59	48	-35743.56
58	49	-36757.861
57	50	1010
56	51	-36988.343
55	52	1010
54	53	1010
69	39	-807.76
68	40	-6540.08
67	41	-7417.917
66	42	-13368.983
65	43	-14964.157
64	44	-20711.578
63	45	-21600.77
62	46	-27351.743
61	47	-28246.337
60	48	-34650.59
59	49	-36225.558
58	50	-42883.283
57	51	-34344.279
56	52	1010
55	53	1010
70	39	943.57
69	40	-5046.77
68	41	-5353.006
67	42	-12106.52
66	43	-12716.454
65	44	-19199.646
64	45	-20093.174
63	46	-25781.979
62	47	-26504.561
61	48	-32959.792
60	49	-34123.378
59	50	-41218.3
58	51	1010
57	52	-39049.207
56	53	1010
55	54	1010
70	40	-4305.03
69	41	-4921.94
68	42	-10671.372
67	43	-12311.965
66	44	-17990.478
65	45	-19362.971
64	46	-24921.626
63	47	-25630.236
