N	Z	P1n	P2n	P3n
119	58	6.17	84.04	7.97
120	58	20.11	62.43	16.4
121	58	2.35	51.36	44.23
122	58	11.63	59.95	26.84
123	58	2.14	79.82	16.77
124	58	33.05	56.59	9.06
125	58	2.31	86.56	10.44
126	58	54.2	33.97	10.69
127	58	1.11	14.68	82
128	58	3.6	1.82	94.58
129	58	99.39	0	0
130	58	0	100	0
131	58	99.88	0	0
132	58	0	100	0
133	58	99.85	0	0
134	58	0	100	0
135	58	100	0	0
136	58	0	100	0
137	58	99.1	0	0
82	59	0	0	0
83	59	0	0	0
84	59	0	0	0
85	59	0	0	0
86	59	0	0	0
87	59	0	0	0
88	59	0	0	0
89	59	0	0	0
90	59	0	0	0
91	59	0	0	0
92	59	0	0	0
93	59	0	0	0
94	59	0	0	0
95	59	0.18	0	0
96	59	0.2	0	0
97	59	1.74	0	0
98	59	8.75	0	0
99	59	11.81	0	0
100	59	21.13	0	0
101	59	23.14	0.06	0
102	59	37.32	0	0
103	59	38.76	0.72	0
104	59	65.63	0.39	0
105	59	61.51	6.02	0
106	59	74.58	3.67	0.05
107	59	48.49	32.8	0.22
108	59	80.11	9.69	0.59
109	59	40.34	46.94	0.85
110	59	60.88	34.45	2.21
111	59	26.82	59.54	2.36
112	59	50.59	40.5	4.77
113	59	8.1	82.23	7.47
114	59	26.61	60.55	11.51
115	59	7.41	78.96	12
116	59	15.4	55.62	28.03
117	59	5.72	76.98	15.78
118	59	9.5	27.15	62.67
119	59	0.89	43	55.04
120	59	3.1	12.96	82.94
121	59	0.61	12.84	85.32
122	59	5.09	1.51	92.57
123	59	1.08	44.08	54.14
124	59	2.47	23.05	73.92
125	59	0.61	63.01	35.77
126	59	1.74	53.07	44.75
127	59	1.45	1.95	96.18
128	59	0.82	2.53	96.66
129	59	99.6	0	0
130	59	0	100	0
131	59	99.87	0	0
132	59	0	100	0
133	59	99.82	0	0
134	59	0	100	0
135	59	99.88	0	0
136	59	0	100	0
137	59	99.92	0	0
138	59	0.14	99.86	0
139	59	99.9	0	0
82	60	0	0	0
83	60	0	0	0
84	60	0	0	0
85	60	0	0	0
86	60	0	0	0
87	60	0	0	0
88	60	0	0	0
89	60	0	0	0
90	60	0	0	0
91	60	0	0	0
92	60	0	0	0
93	60	0	0	0
94	60	0	0	0
95	60	0	0	0
96	60	0	0	0
97	60	0	0	0
98	60	0	0	0
99	60	0.03	0	0
100	60	0.11	0	0
101	60	0.53	0	0
102	60	1.51	0	0
103	60	4.27	0	0
104	60	10.34	0	0
105	60	11.78	0.08	0
106	60	31.45	0.03	0
107	60	45.83	1.1	0
108	60	47.96	0.3	0
109	60	58.94	2.66	0
110	60	64.58	0.86	0
111	60	64.93	6.3	0.03
112	60	69.61	1.63	0.09
113	60	64.71	17.13	0.29
114	60	78.45	2.45	0.41
115	60	58.82	27.42	0.89
116	60	81.11	4.82	1.27
117	60	38.94	42.23	1.68
118	60	84.39	3.43	2.37
119	60	25.42	61.51	5.9
120	60	53.62	39.97	5.16
121	60	6.32	81.04	5.89
122	60	86.5	2.89	6.17
123	60	23.79	68.86	4.73
124	60	89.66	2.72	5.37
125	60	62.68	29.69	6.57
126	60	90.25	1.4	6.9
127	60	1.34	86.06	10.71
128	60	4.12	2.46	93.42
129	60	98.37	0	0
130	60	0	100	0
131	60	99.6	0	0
132	60	0.62	99.38	0
133	60	99.66	0	0
134	60	0	100	0
135	60	99.71	0	0
136	60	0.91	99.09	0
137	60	99.22	0	0
138	60	0.97	99.03	0
139	60	99.71	0	0
140	60	0	100	0
141	60	99.56	0	0
83	61	0	0	0
85	61	0	0	0
86	61	0	0	0
87	61	0	0	0
88	61	0	0	0
89	61	0	0	0
90	61	0	0	0
91	61	0	0	0
92	61	0	0	0
93	61	0	0	0
94	61	0	0	0
95	61	0	0	0
96	61	0	0	0
97	61	0	0	0
98	61	0.01	0	0
99	61	0.06	0	0
100	61	0.49	0	0
101	61	0.86	0	0
102	61	4.86	0	0
103	61	7.62	0	0
104	61	29.2	0	0
105	61	29.91	0.15	0
106	61	46.01	0.09	0
107	61	73.05	4.97	0
108	61	88.19	1	0
109	61	75.46	14.46	0
110	61	90.3	4.42	0.05
111	61	54.14	29.96	0.09
112	61	76.13	12.03	0.36
113	61	42.8	44.13	0.53
114	61	65.87	23.21	0.92
115	61	38.62	51.89	1.33
116	61	51.9	39.99	3.08
117	61	34.59	57.02	2.74
118	61	38.52	53.51	5.22
119	61	8.26	79.76	10.48
120	61	18.09	42.08	38.8
121	61	2.21	77.19	18.88
122	61	27.3	41.64	30.39
123	61	2.88	87.42	8.23
124	61	7.91	82.68	8.52
125	61	1.07	90.16	7.9
126	61	15.91	74.65	8.81
127	61	1.56	31.81	65.78
128	61	1.73	3.83	94.44
129	61	99.8	0	0
130	61	0.46	99.54	0
131	61	99.86	0	0
132	61	0.53	99.47	0
133	61	99.89	0	0
134	61	0.44	99.56	0
135	61	99.9	0	0
136	61	0.68	99.32	0
137	61	0	0.63	99.16
138	61	0.72	0	99.28
139	61	99.9	0	0
140	61	0.58	99.42	0
141	61	99.6	0	0
142	61	0	100	0
143	61	99.91	0	0
144	61	0.13	99.87	0
82	62	0	0	0
85	62	0	0	0
86	62	0	0	0
87	62	0	0	0
88	62	0	0	0
89	62	0	0	0
90	62	0	0	0
91	62	0	0	0
92	62	0	0	0
93	62	0	0	0
94	62	0	0	0
95	62	0	0	0
96	62	0	0	0
97	62	0	0	0
98	62	0	0	0
99	62	0	0	0
100	62	0	0	0
101	62	0	0	0
102	62	0	0	0
103	62	0.03	0	0
104	62	0.6	0	0
105	62	1.07	0	0
106	62	4.13	0	0
107	62	10.04	0	0
108	62	9.19	0	0
109	62	21.21	0.09	0
110	62	31.03	0	0
111	62	46.41	0.78	0
112	62	51.87	0.17	0
113	62	61.92	1.69	0
114	62	61.94	0.57	0
115	62	66.14	3.5	0
116	62	76.06	1.52	0.02
117	62	58.64	4.54	0.12
118	62	82.42	2.71	0.28
119	62	63.62	18.8	1.28
120	62	83.15	4.95	1.63
121	62	42.42	41.25	1.85
122	62	87.52	2.56	1.9
123	62	80.43	13.78	1.42
124	62	92.1	3.15	1.57
125	62	92.42	4.23	1.93
126	62	92.06	4.06	1.94
127	62	6.98	83.09	7.9
128	62	5.63	4.96	89.4
129	62	98.42	0	0
130	62	2.55	97.45	0
131	62	99.5	0	0
132	62	1.5	98.5	0
133	62	99.56	0	0
134	62	1.11	98.89	0
135	62	99.59	0	0
136	62	1.89	97.66	0
137	62	0.29	1.66	97.42
138	62	1.65	0.86	97.49
139	62	0.01	0.61	99.02
140	62	1.29	0.09	98.63
141	62	99.4	0	0
142	62	1.23	98.77	0
143	62	99.48	0	0
144	62	1.21	98.79	0
145	62	99.72	0	0
146	62	1.48	98.52	0
85	63	0	0	0
87	63	0	0	0
88	63	0	0	0
89	63	0	0	0
90	63	0	0	0
91	63	0	0	0
92	63	0	0	0
93	63	0	0	0
94	63	0	0	0
95	63	0	0	0
96	63	0	0	0
97	63	0	0	0
98	63	0	0	0
99	63	0	0	0
100	63	0	0	0
101	63	0	0	0
102	63	0.19	0	0
103	63	0.48	0	0
104	63	14.92	0	0
105	63	6.09	0	0
106	63	49.07	0	0
107	63	23.69	0.01	0
108	63	38.47	0	0
109	63	41.95	0.35	0
110	63	60.85	0.05	0
111	63	57.95	2.92	0
112	63	89.9	1.82	0
113	63	68.1	12.79	0
114	63	79.02	3.46	0.01
115	63	58.32	21.85	0.03
116	63	79.26	9.45	0.23
117	63	57.7	31.74	0.34
118	63	75.91	18.63	0.9
119	63	37.12	56.61	1.97
120	63	41.51	54.07	3.25
121	63	11.99	79.76	2.88
122	63	52.95	40.7	4.88
123	63	27.47	68.21	2.04
124	63	63.13	32.44	3.28
125	63	2.52	92.25	3.96
126	63	73.58	19.93	5.21
127	63	2.31	86.26	10.19
128	63	4.57	4.89	90.53
129	63	99.8	0	0
130	63	1.34	98.66	0
131	63	99.85	0	0
132	63	0.74	99.26	0
133	63	99.87	0	0
134	63	0.61	99.39	0
135	63	99.87	0	0
136	63	0.73	99.04	0
137	63	0.16	1.1	98.58
138	63	0.76	0.42	98.82
139	63	0	0.93	98.94
140	63	0.58	0.1	99.33
141	63	99.91	0	0
142	63	0.58	99.42	0
143	63	99.91	0	0
144	63	0.51	99.49	0
145	63	99.91	0	0
146	63	2.16	97.84	0
147	63	99.12	0	0
148	63	2.86	97.14	0
88	64	0	0	0
90	64	0	0	0
91	64	0	0	0
92	64	0	0	0
93	64	0	0	0
94	64	0	0	0
95	64	0	0	0
96	64	0	0	0
97	64	0	0	0
98	64	0	0	0
99	64	0	0	0
100	64	0	0	0
101	64	0	0	0
102	64	0	0	0
103	64	0	0	0
104	64	0	0	0
105	64	0	0	0
106	64	0.03	0	0
107	64	0.35	0	0
108	64	0.63	0	0
109	64	1.97	0	0
110	64	4.34	0	0
111	64	12.02	0	0
112	64	15.44	0	0
113	64	31.69	0.09	0
114	64	30.37	0	0
115	64	45.86	0.39	0
116	64	53.01	0.12	0
117	64	39.83	0.99	0
118	64	62.42	0.67	0
119	64	71.76	3.8	0.01
120	64	73.68	1.54	0.01
121	64	71.32	5.32	0.05
122	64	84.33	1.4	0.07
123	64	85.29	4.02	0.06
124	64	86.43	2.22	0.11
125	64	90.23	4.39	0.13
126	64	89.11	2.77	0.23
127	64	72.91	21.89	2.52
128	64	7.82	79.47	11.99
129	64	0.23	5.63	92.02
130	64	4.04	0.63	94.67
131	64	0.15	2.08	96.63
132	64	2.68	0.44	96.42
133	64	0.16	2.46	96.79
134	64	2.34	0.34	96.96
135	64	0	0.81	99.19
136	64	95.25	0	0
137	64	11.43	87.68	0
138	64	2.22	31.58	65.52
139	64	0.21	2.45	96.9
140	64	1.58	0.94	97.09
141	64	0.09	1.47	97.84
142	64	1.68	0.21	97.96
143	64	0.14	1.6	97.65
144	64	1.22	0.2	97.97
145	64	0.25	0.87	98.51
146	64	1.77	0.45	97.78
147	64	0	0.76	98.12
148	64	1.22	0.14	98.65
149	64	99.35	0	0
150	64	0	100	0
89	65	0	0	0
91	65	0	0	0
93	65	0	0	0
94	65	0	0	0
95	65	0	0	0
96	65	0	0	0
97	65	0	0	0
98	65	0	0	0
99	65	0	0	0
100	65	0	0	0
101	65	0	0	0
102	65	0	0	0
103	65	0	0	0
104	65	0	0	0
105	65	0.03	0	0
106	65	3.08	0	0
107	65	3.3	0	0
108	65	14.79	0	0
109	65	20	0	0
110	65	57.43	0	0
111	65	63.39	0.07	0
112	65	54.4	0	0
113	65	54.45	0.58	0
114	65	65.07	0.05	0
115	65	56.93	3.18	0
116	65	72.24	0.59	0
117	65	72.21	6.85	0
118	65	86.03	2.35	0.01
119	65	48.5	45.82	0.13
120	65	88.8	8.5	0.32
121	65	46.12	36.46	0.18
122	65	93.08	4.14	0.34
123	65	49.66	42.53	0.21
124	65	88.74	7.41	0.78
125	65	50.7	37.41	0.47
126	65	80.91	2.69	0.75
127	65	28.16	66.01	4.43
128	65	6.01	31.94	61.66
129	65	0.4	6.76	91.81
130	65	2.13	0.87	97
131	65	0.08	2.11	97.05
132	65	1.41	0.1	97.89
133	65	0.27	1.66	97.43
134	65	0.64	0.17	98.88
135	65	0.32	1.92	97.12
136	65	1.59	0.63	97.35
137	65	0.59	3.18	95.84
138	65	1.39	0.92	97.31
139	65	0.26	1.63	97.83
140	65	0.85	0.55	98.3
141	65	0.16	0.97	98.63
142	65	0.75	0.29	98.8
143	65	0.18	1.14	98.56
144	65	0.82	0.12	99.06
145	65	0.04	0.77	98.92
146	65	0.9	0.05	99.05
147	65	0.17	0.98	98.54
148	65	0.75	0	99.25
149	65	99.92	0	0
150	65	0.12	99.88	0
151	65	99.92	0	0
152	65	0	100	0
153	65	99.3	0	0
90	66	0	0	0
92	66	0	0	0
94	66	0	0	0
95	66	0	0	0
96	66	0	0	0
97	66	0	0	0
98	66	0	0	0
99	66	0	0	0
100	66	0	0	0
101	66	0	0	0
102	66	0	0	0
103	66	0	0	0
104	66	0	0	0
105	66	0	0	0
106	66	0	0	0
107	66	0	0	0
108	66	0	0	0
109	66	0.01	0	0
110	66	0.11	0	0
111	66	0.87	0	0
112	66	1.92	0	0
113	66	6.32	0	0
114	66	7.98	0	0
115	66	13.49	0	0
116	66	20.52	0	0
117	66	16.17	0.05	0
118	66	29.07	0.01	0
119	66	54.17	0.75	0
120	66	49.1	0.08	0
121	66	46.04	0.68	0
122	66	67.82	0.12	0
123	66	67.83	1.26	0
124	66	57	0.29	0
125	66	63.58	1.87	0
126	66	64.03	0.5	0
127	66	90.1	5.91	0.41
128	66	9.68	81.86	5.37
129	66	1.74	42.38	52.87
130	66	5.35	1.41	92.04
131	66	0.39	4.61	93.5
132	66	3.13	0.44	94.71
133	66	1.01	3.2	94.03
134	66	2.96	4.9	90.89
135	66	1.29	7.65	89.41
136	66	6.2	8.63	83.61
137	66	4.33	19.46	74.98
138	66	3.98	11.85	82.9
139	66	1.34	6.92	91.08
140	66	2.84	4.64	91.43
141	66	0.81	3.92	94.7
142	66	2.37	2.34	94.45
143	66	0.31	6.21	92.59
144	66	1.99	1.64	95.45
145	66	0.46	2.35	96.64
146	66	2.29	2.21	94.74
147	66	0.1	2.58	96.55
148	66	1.75	0.47	97.63
149	66	0.02	0.85	98.62
150	66	1.2	0.52	98.28
151	66	99.72	0	0
152	66	1.23	98.77	0
153	66	97.39	0	0
154	66	0	100	0
155	66	99.96	0	0
95	67	0	0	0
97	67	0	0	0
98	67	0	0	0
99	67	0	0	0
100	67	0	0	0
101	67	0	0	0
102	67	0	0	0
103	67	0	0	0
104	67	0	0	0
105	67	0	0	0
106	67	0	0	0
107	67	0	0	0
108	67	0.01	0	0
109	67	0.07	0	0
110	67	1.01	0	0
111	67	2.2	0	0
112	67	14.59	0	0
113	67	15.42	0	0
114	67	31.63	0	0
115	67	28.08	0.01	0
116	67	42.75	0	0
117	67	34.28	0.4	0
118	67	59.72	0.12	0
119	67	77.08	4.83	0
120	67	83.61	0.73	0
121	67	69.13	6.7	0
122	67	87.64	1.29	0
123	67	76.46	11.86	0
124	67	82.36	1.26	0
125	67	58.52	3.9	0
126	67	59.16	1.93	0.01
127	67	41.77	55.49	0.62
128	67	13.12	61.52	23.84
129	67	0.84	10.74	86.16
130	67	5.12	1.97	92.34
131	67	0.3	3.72	95.07
132	67	2.75	0.31	96.2
133	67	0.63	4.06	94.38
134	67	2.61	1.48	95.34
135	67	0.97	5.32	92.79
136	67	3.08	1.09	94.61
137	67	0.62	11.99	86.14
138	67	2.85	1.83	94.64
139	67	0.59	4.93	93.81
140	67	1.81	1.4	96.26
141	67	0.5	2.33	96.65
142	67	1.44	0.89	97.16
143	67	0.91	4.1	94.67
144	67	1.14	0.77	97.73
145	67	0.34	1.07	98.28
146	67	1.11	0.44	98.06
147	67	0.51	1.32	98
148	67	0.76	0.65	98.52
149	67	0.01	0.91	99
150	67	0.47	0.22	99.32
151	67	99.9	0	0
152	67	0.4	99.6	0
153	67	99.93	0	0
154	67	0.2	99.8	0
155	67	99.93	0	0
156	67	0	100	0
157	67	99.94	0	0
94	68	0	0	0
96	68	0	0	0
98	68	0	0	0
99	68	0	0	0
100	68	0	0	0
101	68	0	0	0
102	68	0	0	0
103	68	0	0	0
104	68	0	0	0
105	68	0	0	0
106	68	0	0	0
107	68	0	0	0
108	68	0	0	0
109	68	0	0	0
110	68	0	0	0
111	68	0	0	0
112	68	0	0	0
113	68	0.03	0	0
114	68	0.16	0	0
115	68	1.29	0	0
116	68	2.91	0	0
117	68	1.83	0	0
118	68	5.56	0	0
119	68	18.56	0	0
120	68	13.91	0	0
121	68	13.43	0	0
122	68	30.56	0	0
123	68	28.91	0.04	0
124	68	17.67	0	0
125	68	25.89	0.07	0
126	68	19.27	0.01	0
127	68	89.73	4.87	0
128	68	33.67	59.45	0.23
129	68	2.79	82.61	9.35
130	68	8.35	3.66	84.73
131	68	1.28	19.75	76.97
132	68	5.01	7.13	84.63
133	68	1.91	32.17	63.17
134	68	11.62	41.56	44.87
135	68	1.71	45.6	50.05
136	68	18.94	34.37	43.96
137	68	10.04	50.38	35.77
138	68	17.92	43.13	37.09
139	68	4.15	44.72	49.84
140	68	9.29	28.28	60.92
141	68	1.64	22.4	74.77
142	68	6.61	15.69	76.33
143	68	5.09	9.65	83.98
144	68	4.24	6.85	87.7
145	68	1.14	6.86	91.27
146	68	5.2	4.04	89.77
147	68	1.19	8.46	89.51
148	68	3.6	3.03	92.53
149	68	0.28	4.24	95.02
150	68	1.76	0.73	97.22
151	68	0.06	1.3	98.29
152	68	1.58	0.33	97.55
153	68	0.04	1.66	96.15
154	68	2.21	0.18	97.61
155	68	98.88	0	0
156	68	1.61	98.39	0
157	68	99.22	0	0
158	68	0	100	0
159	68	99.83	0	0
99	69	0	0	0
100	69	0	0	0
102	69	0	0	0
103	69	0	0	0
104	69	0	0	0
105	69	0	0	0
106	69	0	0	0
107	69	0	0	0
108	69	0	0	0
109	69	0	0	0
110	69	0	0	0
111	69	0	0	0
112	69	0.72	0	0
113	69	2.12	0	0
114	69	25.91	0	0
115	69	13.38	0	0
116	69	47.13	0	0
117	69	12.12	0	0
118	69	55.41	0	0
119	69	30.29	0.07	0
120	69	32.8	0	0
121	69	25.89	0.11	0
122	69	52.79	0	0
123	69	34.05	0.45	0
124	69	40.83	0.03	0
125	69	31.37	0.8	0
126	69	34.73	0.19	0
127	69	78.07	17.44	0
128	69	62.57	32.76	2.07
129	69	2.07	69.51	25.8
130	69	6.17	5.83	86.76
131	69	0.52	8.83	88.34
132	69	5.72	1.12	91.42
133	69	1.64	6.42	90.11
134	69	3.83	9.03	86.08
135	69	1.34	15.5	81.45
136	69	3.91	9.67	85.35
137	69	1.66	37.42	59.71
138	69	6.42	18.64	74.1
139	69	0.6	27.66	70.72
140	69	3.27	11.61	84.35
141	69	0.51	13.41	85.15
142	69	2.68	7.48	89.34
143	69	0.63	10.51	87.82
144	69	2.13	2.61	94.77
145	69	0.7	6.03	92.82
146	69	2	2.08	95.31
147	69	0.44	5.22	93.61
148	69	1.59	0.93	96.63
149	69	0.42	1.61	97.27
150	69	1.76	0.66	97.39
151	69	0.29	1.65	97.91
152	69	1.33	0.55	97.51
153	69	0.5	1.63	96.36
154	69	2.67	0.03	97.29
155	69	99.92	0	0
156	69	2.66	97.34	0
157	69	99.92	0	0
158	69	3.26	96.74	0
159	69	99.92	0	0
160	69	3.39	96.61	0
161	69	99.93	0	0
98	70	0	0	0
100	70	0	0	0
101	70	0	0	0
102	70	0	0	0
103	70	0	0	0
104	70	0	0	0
105	70	0	0	0
106	70	0	0	0
107	70	0	0	0
108	70	0	0	0
109	70	0	0	0
110	70	0	0	0
111	70	0	0	0
112	70	0	0	0
113	70	0	0	0
114	70	0	0	0
115	70	0	0	0
116	70	0	0	0
117	70	0.02	0	0
118	70	0.31	0	0
119	70	1.54	0	0
120	70	1.15	0	0
121	70	0.95	0	0
122	70	2.87	0	0
123	70	3.73	0	0
124	70	3.95	0	0
125	70	6.99	0	0
126	70	5.09	0	0
127	70	89.01	0.48	0
128	70	76.49	5.4	0
129	70	8.73	80.55	1.29
130	70	13.64	61.69	18.03
131	70	3.38	75.57	17.11
132	70	26.8	44.09	24.24
133	70	4.16	80.14	11.28
134	70	42.33	48.49	5.65
135	70	10.18	78.79	7.37
136	70	38.89	50.93	6.54
137	70	21.69	62.44	7.32
138	70	41.4	49.27	6.18
139	70	14.79	73.59	8.33
140	70	37.45	50.83	9.11
141	70	4.78	75.71	17.36
142	70	25.35	54.04	18.5
143	70	3.7	46.95	42.61
144	70	13.3	32.78	52.19
145	70	5.19	31.38	61.88
146	70	11.38	22.15	64.81
147	70	3.83	19.61	75.45
148	70	6.46	11.01	81.13
149	70	1.56	16.25	81.31
150	70	4.63	6.4	87.87
151	70	0.7	6.27	92.54
152	70	1.9	2.38	94.54
153	70	0.79	3.73	94.04
154	70	1.82	0.78	96.58
155	70	0.01	1.91	96.9
156	70	2.23	0.09	97.67
157	70	0	1.31	97.86
158	70	2.23	0	97.77
159	70	99.71	0	0
160	70	2.05	97.95	0
161	70	99.58	0	0
162	70	1.71	98.29	0
163	70	98.7	0	0
164	70	0	100	0
103	71	0	0	0
104	71	0	0	0
105	71	0	0	0
106	71	0	0	0
107	71	0	0	0
108	71	0	0	0
109	71	0	0	0
110	71	0	0	0
111	71	0	0	0
112	71	0	0	0
113	71	0	0	0
114	71	0	0	0
115	71	0	0	0
116	71	0.11	0	0
117	71	0.14	0	0
118	71	4.54	0	0
119	71	6	0	0
120	71	8.78	0	0
121	71	6.38	0	0
122	71	13.21	0	0
123	71	13.01	0	0
124	71	13.65	0	0
125	71	11.69	0	0
126	71	12.22	0	0
127	71	87.24	2.93	0
128	71	83.23	11.97	0
129	71	4.83	88.03	2.83
130	71	12.56	53.55	31.46
131	71	1.28	62.45	33.89
132	71	7.55	26.88	63.95
133	71	2.18	48.05	47.22
134	71	10.34	37.97	50.41
135	71	1.98	69.91	25.54
136	71	9.72	37.77	51.06
137	71	6.17	64.92	27.33
138	71	12.95	36.93	48.8
139	71	3.45	63.62	31.39
140	71	9.75	37.33	51.66
141	71	1.93	44.63	51.89
142	71	8.56	26.99	63.39
143	71	5.8	23.95	68.22
144	71	4.28	12.83	81.71
145	71	1.04	20.15	77.44
146	71	3.57	7.95	87.13
147	71	0.56	7.98	90.01
148	71	2.41	4.94	91.21
149	71	0.46	8.15	90.03
150	71	1.94	1.69	94.58
151	71	0.54	2.3	96.47
152	71	1.49	1.07	96.76
153	71	0.98	3.39	95.04
154	71	1.6	1.01	97.38
155	71	0.04	1.5	97.35
156	71	1.36	0.02	98.62
157	71	99.42	0	0
158	71	1.26	98.74	0
159	71	0	0.73	99.12
160	71	0.61	0	99.39
161	71	0	0.75	99.19
162	71	0.38	0	99.62
163	71	99.93	0	0
164	71	0.11	99.89	0
165	71	99.95	0	0
166	71	0	100	0
102	72	0	0	0
104	72	0	0	0
105	72	0	0	0
106	72	0	0	0
107	72	0	0	0
108	72	0	0	0
109	72	0	0	0
110	72	0	0	0
111	72	0	0	0
112	72	0	0	0
113	72	0	0	0
114	72	0	0	0
115	72	0	0	0
116	72	0	0	0
117	72	0	0	0
118	72	0	0	0
119	72	0	0	0
120	72	0	0	0
121	72	0	0	0
122	72	0	0	0
123	72	0.02	0	0
124	72	0.19	0	0
125	72	0.99	0	0
126	72	1.38	0	0
127	72	66.36	0	0
128	72	57.19	0.22	0
129	72	17.65	52.92	0
130	72	38.46	38.53	1.33
131	72	55.53	37.22	0.98
132	72	66.79	23.37	2.29
133	72	49.17	42.37	1.16
134	72	79.46	13.87	1.38
135	72	35.89	57.4	1.67
136	72	80.45	14.06	1.34
137	72	31.25	49.74	1.34
138	72	81.27	12.78	1.77
139	72	37.94	53.53	1.66
140	72	78.32	16.21	1.97
141	72	28.95	64.7	2.91
142	72	67.39	26.27	3.02
143	72	12.8	72.21	5.24
144	72	40.69	51.64	5.43
145	72	13.26	74.21	8.26
146	72	27.39	59.26	11.33
147	72	4.81	64.81	28.89
148	72	18.14	47.19	32.86
149	72	7.86	43.06	47.95
150	72	11.43	27.94	59.02
151	72	1.41	20.12	77.6
152	72	6.98	11.58	79.95
153	72	3.06	10.8	84.07
154	72	3.18	4.35	91.73
155	72	0.09	4.36	94.22
156	72	1.99	0.21	96.93
157	72	0.41	3.86	94.8
158	72	1.64	0.54	96.57
159	72	0.44	1.78	97.06
160	72	1.57	1.15	96.12
161	72	0.67	1.81	97.11
162	72	1.8	0.98	96.95
163	72	0.02	1.47	98.21
164	72	1.4	0.2	98.4
165	72	99.34	0	0
166	72	0	100	0
167	72	99.81	0	0
168	72	0	100	0
107	73	0	0	0
108	73	0	0	0
109	73	0	0	0
110	73	0	0	0
111	73	0	0	0
112	73	0	0	0
113	73	0	0	0
114	73	0	0	0
115	73	0	0	0
116	73	0	0	0
117	73	0	0	0
118	73	0	0	0
119	73	0.07	0	0
120	73	0.62	0	0
121	73	0.04	0	0
122	73	0.79	0	0
123	73	0.71	0	0
124	73	2.45	0	0
125	73	1.76	0	0
126	73	3.99	0	0
127	73	69.82	0.13	0
128	73	89.45	1.45	0
129	73	30.22	62.09	0
130	73	64.29	28.71	2.71
131	73	4.11	91.6	1.92
132	73	26.36	58.22	13.11
133	73	6.04	87.06	4.72
134	73	26.19	53.59	16.81
135	73	23.93	70.65	2.8
136	73	45.11	46.27	6.23
137	73	21.54	72.74	2.94
138	73	32.93	57.6	7.35
139	73	13.51	79.86	4.38
140	73	34.38	58.4	5.6
141	73	4.19	86.76	6.77
142	73	25.07	64.2	9.48
143	73	8.02	74.79	13.44
144	73	15.33	53.32	30.44
145	73	5.59	59.24	33.88
146	73	10.24	32.52	56.47
147	73	1	41.78	56.33
148	73	8.45	21.75	69.23
149	73	0.74	30.9	67.66
150	73	4.9	10.58	84.01
151	73	0.44	10.9	88.01
152	73	2.06	7.26	90.16
153	73	0.42	6.58	92.27
154	73	1.44	1.42	96.8
155	73	0.54	3.51	95.71
156	73	1.07	0.58	98.07
157	73	0.44	2.34	96.97
158	73	1.07	0.51	98.16
159	73	0.3	1.09	98.38
160	73	0.94	0.62	98.17
161	73	0.25	0.97	98.61
162	73	1.45	1.11	96.85
163	73	0.06	2.12	97.71
164	73	1.57	0.56	97.87
165	73	99.93	0	0
166	73	0.18	99.82	0
167	73	99.93	0	0
168	73	0	100	0
169	73	100	0	0
170	73	100	0	0
106	74	0	0	0
108	74	0	0	0
109	74	0	0	0
110	74	0	0	0
111	74	0	0	0
112	74	0	0	0
113	74	0	0	0
114	74	0	0	0
115	74	0	0	0
116	74	0	0	0
117	74	0	0	0
118	74	0	0	0
119	74	0	0	0
120	74	0	0	0
121	74	0	0	0
122	74	0	0	0
123	74	0	0	0
124	74	0	0	0
125	74	0	0	0
126	74	0	0	0
127	74	20.12	0	0
128	74	18.69	0	0
129	74	23.94	8.45	0
130	74	46.11	1.61	0
131	74	55.69	8.77	0
132	74	82.15	2.74	0.01
133	74	55.77	13.11	0.02
134	74	89.32	2.36	0.02
135	74	50.22	14.6	0.03
136	74	92.24	1.94	0.06
137	74	53.21	20.58	0.09
138	74	88.18	2.6	0.12
139	74	59.79	24.41	0.2
140	74	89.56	2.59	0.19
141	74	58.77	32.49	0.37
142	74	86.1	3.37	0.5
143	74	37.8	48.11	0.78
144	74	83.9	9.87	1.03
145	74	29.23	60.07	1.47
146	74	73.21	20.37	1.9
147	74	18.26	75.37	2.98
148	74	58.9	35.85	3.16
149	74	17.9	73.79	5.2
150	74	32.83	58.39	6.83
151	74	5.8	79.23	13.61
152	74	16.11	60.37	21.75
153	74	4.5	36.88	57.06
154	74	6.67	16.24	75.84
155	74	2.97	10.32	85.32
156	74	4.65	5.87	88.22
157	74	3.05	5.94	89.74
158	74	4.55	3.1	91.2
159	74	0.89	8.48	89.96
160	74	4.92	2.81	91.21
161	74	0.97	5.8	92.73
162	74	3.12	4.05	92.12
163	74	0.43	3.14	95.99
164	74	2.23	1.19	96.59
165	74	0.01	1.97	97.46
166	74	1.26	0.2	98.54
167	74	99.52	0	0
168	74	0	100	0
169	74	99.41	0	0
170	74	1.85	98.15	0
171	74	100	0	0
172	74	0	100	0
173	74	99.57	0	0
109	75	0	0	0
110	75	0	0	0
111	75	0	0	0
112	75	0	0	0
113	75	0	0	0
114	75	0	0	0
115	75	0	0	0
116	75	0	0	0
117	75	0	0	0
118	75	0	0	0
119	75	0	0	0
120	75	0	0	0
121	75	0	0	0
122	75	0	0	0
123	75	0	0	0
124	75	0	0	0
125	75	0.02	0	0
126	75	0.24	0	0
127	75	26.3	0	0
128	75	83.27	0	0
129	75	82.67	5.16	0
130	75	86.52	4.96	0
131	75	58.47	38	0.02
