N	Z	Special	beta-n	beta-2n	beta-3n	beta-4n	MOE-1n	MOE-2n	MOE-3n
75	45	1	5.4	0	0	0	4.02	0	0
75	46	1	0.8	0	0	0	0	0	0
76	46	2	2.5	0	0	0	0.06	0	0
73	47	1	0.003	0	0	0	0	0	0
74	47	0	0.08	0	0	0	0.05	0	0
75	47	0	0.186	0	0	0	0.22	0	0
76	47	0	0.55	0	0	0	0.76	0	0
77	47	0	1.3	0	0	0	1.26	0	0
82	48	0	3.5	0	0	0	2.72	0	0
83	48	0	3.5	0	0	0	39.81	0	0
84	48	0	60	0	0	0	64.31	0.23	0
78	49	1	0.03	0	0	0	0.02	0	0
79	49	1	0.046	0	0	0	0.05	0	0
80	49	0	0.25	0	0	0	0.86	0	0
81	49	0	0.93	0	0	0	1.19	0	0
82	49	4	2	0	0	0	4.3	0	0
83	49	0	6.3	0	0	0	10.61	0.01	0
84	49	0	85	0	0	0	92.69	0.21	0
85	49	0	65	0	0	0	6.47	86.67	0.02
86	49	2	0	0	0	0	23.51	64.26	7.39
83	50	0	0.08	0	0	0	0.02	0	0
84	50	0	17	0	0	0	57.91	0	0
85	50	0	21	0	0	0	51.74	5.47	0
86	50	0	30	0	0	0	64.42	1	0
87	50	0	58	0	0	0	49.49	23.32	0
84	51	0	22	0	0	0	31.71	0	0
85	51	0	16.3	0	0	0	33.5	6.19	0
86	51	0	49	0	0	0	56.36	0.52	0
84	52	0	1.31	0	0	0	2.43	0	0
85	52	0	2.99	0	0	0	5.08	0	0
86	52	0	6.3	0	0	0	1.5	0	0
84	53	0	7.14	0	0	0	2.66	0	0
85	53	0	5.56	0	0	0	2.39	0	0
86	53	0	10	0	0	0	22.84	0	0
87	53	0	9.3	0	0	0	32.46	0.02	0
88	53	0	21.2	0	0	0	69.35	0	0
87	54	0	0.044	0	0	0	0.07	0	0
88	54	0	0.406	0	0	0	0.15	0	0
91	54	0	5	0	0	0	4.3	0	0
93	54	1	8	0	0	0	6.53	0.01	0
86	55	0	0.035	0	0	0	0.22	0	0
87	55	0	0.09	0	0	0	1.08	0	0
88	55	0	1.64	0	0	0	13.58	0	0
89	55	0	3.03	0	0	0	22.17	0	0
90	55	0	14.7	0	0	0	16.49	0	0
91	55	0	14.2	0	0	0	35.23	0	0
92	55	0	28.5	0	0	0	16.8	0	0
93	55	0	25.1	0	0	0	35.15	0.06	0
91	56	0	0.06	0	0	0	0	0	0
92	56	0	0.4	0	0	0	0.09	0	0
93	56	0	0.43	0	0	0	0.17	0	0
90	57	0	0.041	0	0	0	0.01	0	0
91	57	0	0.15	0	0	0	0	0	0
92	57	0	1.43	0	0	0	1.42	0	0
93	57	0	2.7	0	0	0	1.07	0	0
129	81	0	0.007	0	0	0	0.01	0	0
