N	Z	Q(bn)
41	33	-10703.983
40	34	-16636.932
39	35	-16807.815
38	36	-24321.849
37	37	-28037
36	38	1010
48	27	11285
47	28	3688.55
46	29	3214.056
45	30	-2580.608
44	31	-3113.455
43	32	-9068.224
42	33	-8892.309
41	34	-14952.553
40	35	-14846.605
39	36	-20478.959
38	37	-24463
37	38	1010
49	27	12077
48	28	4790.04
47	29	3511.611
46	30	-1909.756
45	31	-2510.99
44	32	-8250.017
43	33	-8193.212
42	34	-14216.151
41	35	-14036.761
40	36	-19866.757
39	37	-21931.702
38	38	1010
37	39	1010
49	28	6157
48	29	5719.5
47	30	-563.871
46	31	-850.772
45	32	-6992.803
44	33	-6735.684
43	34	-12381.73
42	35	-12291.983
41	36	-17761.681
40	37	-18654.166
39	38	-27274
38	39	1010
50	28	6311
49	29	6220.406
48	30	437.796
47	31	-564.407
46	32	-6017.053
45	33	-6288.791
44	34	-11862.424
43	35	-11353.998
42	36	-17420.398
41	37	-17203.297
40	38	-24467
39	39	1010
38	40	1010
51	28	8717
50	29	7513.62
49	30	2202.334
48	31	1243.056
47	32	-4780.955
46	33	-4681.474
45	34	-10536.62
44	35	-9959.798
43	36	-15578.172
42	37	-15700.356
41	38	-21021
40	39	-25126
39	40	1010
51	29	8930.37
50	30	2827.745
49	31	2231.609
48	32	-3970.555
47	33	-4368.353
46	34	-9762.743
45	35	-9518.051
44	36	-15161.646
43	37	-14769.897
42	38	-20025.908
41	39	-22158.86
40	40	1010
52	29	11787.63
51	30	4952.691
50	31	3836.033
49	32	-2148.542
48	33	-2845.157
47	34	-8571.306
46	35	-8153.657
45	36	-13590.661
44	37	-13216.498
43	38	-18452.539
42	39	-18266.005
41	40	1010
40	41	1010
53	29	12458
52	30	6949.92
51	31	5289.648
50	32	-953.067
49	33	-1785.401
48	34	-7689.582
47	35	-7873.779
46	36	-13204.975
45	37	-12730.997
44	38	-18369.634
43	39	-17738
42	40	-25067
41	41	1010
53	30	8121.28
52	31	8086.632
51	32	1055.338
50	33	-146.725
49	34	-5914.607
48	35	-6494.4
47	36	-11873.542
46	37	-11131.904
45	38	-16805.961
44	39	-16333.012
43	40	-21781
42	41	1010
41	42	1010
54	30	8776
53	31	8621.69
52	32	3449.582
51	33	1415.691
50	34	-5005.636
49	35	-5864.369
48	36	-11440.025
47	37	-11032.675
46	38	-16516.349
45	39	-16054.283
44	40	-21081
43	41	-22406
42	42	1010
55	30	10372
54	31	10013.69
53	32	4658.824
52	33	4687.262
51	34	-2701.867
50	35	-4207.448
49	36	-9792.69
48	37	-9589.094
47	38	-15281.113
46	39	-14492.908
45	40	-20224.349
44	41	-19848.923
43	42	1010
42	43	1010
55	31	10596
54	32	5357.68
53	33	5380.174
52	34	0.985
51	35	-2223.236
50	36	-9169.655
49	37	-9715.051
48	38	-14752.39
47	39	-14180.486
46	40	-19760.294
45	41	-19694.444
44	42	-26147
43	43	1010
56	31	12110
55	32	6812.92
54	33	6813.938
53	34	1134.812
52	35	1302.675
51	36	-6033.831
50	37	-8145.907
49	38	-13668.15
48	39	-13121.01
47	40	-18284.974
46	41	-17834.371
45	42	-23658.764
44	43	1010
43	44	1010
56	32	7409
55	33	7634.61
54	34	1936.163
53	35	1922.247
52	36	-3164.811
51	37	-5800.283
50	38	-12974.33
49	39	-13023.532
48	40	-17826.342
47	41	-17362.493
46	42	-23067.819
45	43	-23821
44	44	1010
57	32	8919
56	33	9014.49
55	34	3652.252
54	35	3345.702
53	36	-1998.106
52	37	-1862.209
51	38	-9981.319
50	39	-12152.14
49	40	-16771.726
48	41	-16010.17
47	42	-21404.937
46	43	-21067
45	44	1010
44	45	1010
58	32	9506
57	33	9590.86
56	34	4402.731
55	35	4464.172
54	36	-1318.33
53	37	-1227.293
52	38	-6311.086
51	39	-9689.792
50	40	-16219.486
49	41	-15718.606
48	42	-20849.36
47	43	-20689.894
46	44	-26925
45	45	1010
58	33	10832
57	34	5590.69
56	35	5780.641
55	36	319.451
54	37	132.471
53	38	-5228.86
52	39	-5649.639
51	40	-13305.252
50	41	-14537.003
49	42	-19555.339
48	43	-19173.775
47	44	-24352
46	45	1010
45	46	1010
59	33	11285
58	34	6312.17
57	35	6669.845
56	36	904.484
55	37	808.568
54	38	-4586.828
53	39	-4992.214
52	40	-9892.375
51	41	-12316.348
50	42	-18892.895
49	43	-18757.492
48	44	-23577.114
47	45	-24794
46	46	1010
59	34	7446.15
58	35	7727.666
57	36	2565.209
56	37	2176.123
55	38	-3340.179
54	39	-3839.343
53	40	-8740.259
52	41	-8476.475
51	42	-15951.943
50	43	-17375.474
49	44	-22288.943
48	45	-22013
47	46	1010
46	47	1010
60	34	8096
59	35	8464.91
58	36	3200.868
57	37	3451.809
56	38	-2689.406
55	39	-3301.481
54	40	-8129.234
53	41	-7634.204
52	42	-12878.808
51	43	-15011.704
50	44	-21643.108
49	45	-21839.567
48	46	-27905
47	47	1010
61	34	9068
60	35	9505.54
59	36	4332.559
58	37	4880.55
57	38	-840.723
56	39	-2011.732
55	40	-7363.67
54	41	-6443.533
53	42	-11624.848
52	43	-11507.829
51	44	-18620.201
50	45	-20310.881
49	46	-25625
48	47	1010
47	48	1010
61	35	9923.92
60	36	4742.883
59	37	5696.574
58	38	210.148
57	39	-751.353
56	40	-6730.873
55	41	-5967.52
54	42	-10844.842
53	43	-10435.202
52	44	-15809.833
51	45	-17793.121
50	46	-24656.523
49	47	-25953
48	48	1010
62	35	10952.87
61	36	5859.549
60	37	6339.413
59	38	1688.065
58	39	1246.117
57	40	-5412.909
56	41	-4885.779
55	42	-9794.488
54	43	-9211.048
53	44	-14504.15
52	45	-14485.461
51	46	-21365.52
50	47	-23324
49	48	1010
48	49	1010
63	35	10904
62	36	6136.47
61	37	6192.563
60	38	1629.884
59	39	2576.514
58	40	-3755.739
57	41	-4058.123
56	42	-8967.307
55	43	-8383.14
54	44	-13699.783
53	45	-13440.587
52	46	-18566.45
51	47	-20684
50	48	-28518
49	49	1010
63	36	7487.61
62	37	7149.259
61	38	1717.33
60	39	2565.494
59	40	-2165.381
58	41	-2288.265
57	42	-7609.164
56	43	-7173.328
55	44	-12518.044
54	45	-12328.335
53	46	-17186.146
52	47	-17147.37
51	48	-24106
50	49	1010
49	50	1010
64	36	8082
63	37	7893.48
62	38	2754.234
61	39	2219.781
60	40	-2121.498
59	41	-1905.684
58	42	-6934.02
57	43	-6469.334
56	44	-11717.169
