N	Z	Q(bn)
151	92	-3089
150	93	-2912.91
149	94	-5785.217
148	95	-5700.423
147	96	-8622.591
146	97	-8767
145	98	-11881
144	99	-11723
143	100	1010
151	93	-2625.48
150	94	-5440.816
149	95	-5373.96
148	96	-8308.85
147	97	-8346.659
146	98	-11340
145	99	-11408
144	100	1010
152	93	-1928.57
151	94	-4772.893
150	95	-4622.877
149	96	-7782.112
148	97	-7735.026
147	98	-10711
146	99	-10670
145	100	1010
144	101	1010
152	94	-4577
151	95	-4080.61
150	96	-7268.35
149	97	-7489.645
148	98	-10347
147	99	-10356
146	100	-13155
145	101	1010
153	94	-3959
152	95	-3535.47
151	96	-6505.469
150	97	-6672.423
149	98	-9869.564
148	99	-9681
147	100	-12513
146	101	1010
153	95	-3042.31
152	96	-6168
151	97	-6094.26
150	98	-9410
149	99	-9444
148	100	-12110
147	101	1010
146	102	1010
154	95	-2361.37
153	96	-5401.161
152	97	-5460.701
151	98	-8647
150	99	-8793.51
149	100	-11700
148	101	-11459
147	102	1010
154	96	-4931.586
153	97	-4845.743
152	98	-8076
151	99	-8364.49
150	100	-11231
149	101	-11222
148	102	1010
155	96	-4373.53
154	97	-4013.95
153	98	-7162.219
152	99	-7631.133
151	100	-10748.904
150	101	-10668
149	102	1010
148	103	1010
156	96	-4244
155	97	-3672.4
154	98	-6549.62
153	99	-6729.986
152	100	-10221
151	101	-10412
150	102	-12927
149	103	1010
156	97	-3178.29
155	98	-6064.29
154	99	-5874.242
153	100	-9233
152	101	-9768.54
151	102	-12450
150	103	1010
149	104	1010
157	97	-2980.57
156	98	-5743.933
155	99	-5428.08
154	100	-8341
153	101	-8976.58
152	102	-11923
151	103	-11755
150	104	1010
157	98	-5252.89
156	99	-4885.09
155	100	-7724.376
154	101	-7951.636
153	102	-11137.066
152	103	-11322
151	104	1010
150	105	1010
158	98	-5122
157	99	-4684.91
156	100	-7428
155	101	-7421.62
154	102	-10194.69
153	103	-10655.086
152	104	-13581
151	105	1010
158	99	-4154.94
157	100	-6937.42
156	101	-6898.082
155	102	-9568
154	103	-9687.39
153	104	-12703
152	105	1010
159	99	-3960
158	100	-6641.13
157	101	-6633
156	102	-9199
155	103	-9155.67
154	104	-11937
153	105	1010
152	106	1010
159	100	-6054
158	101	-5925
157	102	-8744
156	103	-8560
155	104	-11508
154	105	-11323
153	106	1010
160	100	-5932
159	101	-5630
158	102	-8312
157	103	-8157
156	104	-10914
155	105	-10957
154	106	1010
153	107	1010
160	101	-5105
159	102	-7893
158	103	-7658
157	104	-10422
156	105	-10369.2
155	106	-13389
154	107	1010
161	101	-4900
160	102	-7531
159	103	-7290
158	104	-9927
157	105	-9820.63
156	106	-12839
155	107	1010
161	102	-7044
160	103	-6735
159	104	-9540
158	105	-9326
157	106	-12424
156	107	-5222
155	108	1010
162	102	-6792
161	103	-6482
160	104	-9106
159	105	-8900
158	106	-11784
157	107	-11731
156	108	1010
162	103	-5915
161	104	-8743
160	105	-8368
159	106	-10331
158	107	-11278.63
157	108	1010
156	109	1010
163	103	-5140
162	104	-8481
161	105	-8131
160	106	-10809
159	107	-10864.26
158	108	-13613
157	109	1010
163	104	-7364
162	105	-7615
161	106	-10342
160	107	-10442
159	108	-13382
158	109	1010
157	110	1010
164	104	-6672
163	105	-6847
162	106	-10036
161	107	-9916
160	108	-13031
159	109	-12840
158	110	1010
164	105	-5725
163	106	-9064
162	107	-9420
161	108	-12631
160	109	-12408
159	110	1010
165	105	-5530
164	106	-8061
163	107	-8434
162	108	-12293
161	109	-12192.78
160	110	1010
165	106	-7540
164	107	-7171
163	108	-11013
162	109	-11649
161	110	1010
166	106	-7481
165	107	-7052
164	108	-10166
163	109	-10436
162	110	1010
161	111	1010
167	106	-6845
166	107	-6445
165	108	-9681
164	109	-9581
163	110	-12461
162	111	1010
167	107	-6331
166	108	-9091
165	109	-9296
164	110	-11533
163	111	1010
168	107	-5867
167	108	-8609
166	109	-8621
165	110	-11071
164	111	1010
168	108	-8412
167	109	-8480
166	110	-10786
165	111	1010
164	112	1010
169	108	-7787
168	109	-7845
167	110	-10326
166	111	-10252
165	112	1010
169	109	-7706
168	110	-9961
167	111	-10072
166	112	1010
165	113	1010
170	109	-7107
169	110	-9372
168	111	-9407
167	112	-11831
166	113	1010
170	110	-9385
169	111	-9378
168	112	-11613
167	113	1010
171	110	-8656
170	111	-8805
169	112	-11037
168	113	1010
171	111	-8655
170	112	-10850
169	113	1010
172	111	-8027
171	112	-10310
170	113	1010
172	112	-10321
171	113	1010
173	112	-9571
172	113	1010
171	114	1010
173	113	-9408
172	114	1010
174	113	-8859
173	114	1010
172	115	1010
174	114	-10989
173	115	1010
175	114	-10233
174	115	1010
173	116	1010
175	115	-10108
174	116	1010
176	115	-9531
175	116	1010
174	117	1010
176	116	-11604
175	117	1010
177	116	-10844
176	117	1010
175	118	1010
177	117	-10959
176	118	1010
177	118	1010
