N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
0	0	66	39	64	40	0.03	0	0	Zr
0	0	65	40	65	40	0.03	0	0	Zr
0	0	64	41	66	40	0.63	0	0	Zr
0	0	63	42	67	40	1.49	0	0	Zr
0	0	62	43	68	40	1.96	0	0	Zr
0	0	61	44	69	40	4.67	0	0	Zr
0	0	60	45	70	40	7.17	0	0	Zr
0	0	59	46	71	40	14.7	1.01	0	Zr
0	0	58	47	72	40	26.32	0.47	0	Zr
0	0	57	48	73	40	64.85	8.46	0.02	Zr
0	0	56	49	74	40	45.56	2.34	0.07	Zr
0	0	55	50	75	40	55.06	4.73	0.29	Zr
0	0	54	51	76	40	54.84	2.04	0.1	Zr
0	0	53	52	77	40	69.12	6.75	0.33	Zr
0	0	68	38	78	40	70.28	4.34	0.83	Zr
0	0	67	39	79	40	73.39	12.05	2.4	Zr
0	0	66	40	80	40	79.99	6.24	3.82	Zr
0	0	65	41	81	40	75.71	19.37	3.12	Zr
0	0	64	42	82	40	29.99	5.13	4.21	Zr
0	0	63	43	83	40	76.75	11.6	10.21	Zr
0	0	62	44	84	40	5.64	74.71	19.65	Zr
0	0	61	45	85	40	0.47	3.95	94.72	Zr
0	0	60	46	86	40	1.62	0.14	98.24	Zr
0	0	59	47	87	40	99.52	0	0	Zr
0	0	58	48	88	40	0	100	0	Zr
0	0	57	49	89	40	99.79	0	0	Zr
0	0	56	50	90	40	0	100	0	Zr
0	0	55	51	91	40	99.48	0	0	Zr
0	0	54	52	92	40	0.77	99.23	0	Zr
0	0	69	38	93	40	99.63	0	0	Zr
0	0	68	39	94	40	0	100	0	Zr
0	0	67	40	95	40	99.67	0	0	Zr
0	0	66	41	96	40	0	100	0	Zr
0	0	65	42	97	40	99.76	0	0	Zr
0	0	64	43	51	41	0	0	0	Nb
0	0	63	44	52	41	0	0	0	Nb
0	0	62	45	53	41	0	0	0	Nb
0	0	61	46	54	41	0	0	0	Nb
0	0	60	47	55	41	0	0	0	Nb
0	0	59	48	56	41	0	0	0	Nb
0	0	58	49	57	41	0	0	0	Nb
0	0	57	50	58	41	0	0	0	Nb
0	0	56	51	59	41	0	0	0	Nb
0	0	55	52	60	41	0	0	0	Nb
0	0	54	53	61	41	0	0	0	Nb
0	0	69	39	62	41	0	0	0	Nb
0	0	68	40	63	41	0	0	0	Nb
0	0	67	41	64	41	0.24	0	0	Nb
0	0	66	42	65	41	0.2	0	0	Nb
0	0	65	43	66	41	3.12	0	0	Nb
0	0	64	44	67	41	16.58	0	0	Nb
0	0	63	45	68	41	16.35	0	0	Nb
0	0	62	46	69	41	19.57	0.04	0	Nb
0	0	61	47	70	41	55.63	0	0	Nb
0	0	60	48	71	41	61.19	1.72	0	Nb
0	0	59	49	72	41	86.54	2.14	0	Nb
0	0	58	50	73	41	38.3	12.45	0.01	Nb
0	0	57	51	74	41	56.92	1.29	0.09	Nb
0	0	56	52	75	41	46.44	9.97	0.03	Nb
0	0	55	53	76	41	62.23	3.16	0.27	Nb
0	0	70	39	77	41	48.96	23.18	0.42	Nb
0	0	69	40	78	41	80.49	7.14	1.29	Nb
0	0	68	41	79	41	46.36	40.42	2.14	Nb
0	0	67	42	80	41	73.17	20.35	4.73	Nb
0	0	66	43	81	41	28.43	54.51	2.58	Nb
0	0	65	44	82	41	54.48	8.32	5.36	Nb
0	0	64	45	83	41	34.03	55.04	9.34	Nb
0	0	63	46	84	41	4.23	34.53	61.06	Nb
0	0	62	47	85	41	0	4.14	95.51	Nb
0	0	61	48	86	41	1.24	0.04	98.72	Nb
0	0	60	49	87	41	99.8	0	0	Nb
0	0	59	50	88	41	0	100	0	Nb
0	0	58	51	89	41	99.77	0	0	Nb
0	0	57	52	90	41	0.33	99.67	0	Nb
0	0	56	53	91	41	99.79	0	0	Nb
0	0	55	54	92	41	0.58	99.42	0	Nb
0	0	70	40	93	41	99.83	0	0	Nb
0	0	69	41	94	41	0.5	99.5	0	Nb
0	0	68	42	95	41	99.84	0	0	Nb
0	0	67	43	96	41	0	100	0	Nb
0	0	66	44	97	41	99.87	0	0	Nb
0	0	65	45	98	41	0	100	0	Nb
0	0	64	46	99	41	99.87	0	0	Nb
0	0	63	47	50	42	0	0	0	Mo
0	0	62	48	52	42	0	0	0	Mo
0	0	61	49	53	42	0	0	0	Mo
0	0	60	50	54	42	0	0	0	Mo
0	0	59	51	55	42	0	0	0	Mo
0	0	58	52	56	42	0	0	0	Mo
0	0	57	53	57	42	0	0	0	Mo
0	0	56	54	58	42	0	0	0	Mo
0	0	71	40	59	42	0	0	0	Mo
0	0	70	41	60	42	0	0	0	Mo
0	0	69	42	61	42	0	0	0	Mo
0	0	68	43	62	42	0	0	0	Mo
0	0	67	44	63	42	0	0	0	Mo
0	0	66	45	64	42	0	0	0	Mo
0	0	65	46	65	42	0	0	0	Mo
0	0	64	47	66	42	0	0	0	Mo
0	0	63	48	67	42	0	0	0	Mo
0	0	62	49	68	42	0	0	0	Mo
0	0	61	50	69	42	0.03	0	0	Mo
0	0	60	51	70	42	0.31	0	0	Mo
0	0	59	52	71	42	3.36	0	0	Mo
0	0	58	53	72	42	4.42	0	0	Mo
0	0	57	54	73	42	6.16	0.02	0	Mo
0	0	72	40	74	42	7.76	0	0	Mo
0	0	71	41	75	42	16.81	0.32	0	Mo
0	0	70	42	76	42	12.65	0.05	0	Mo
0	0	69	43	77	42	29.15	1.34	0	Mo
0	0	68	44	78	42	32.47	0.61	0	Mo
0	0	67	45	79	42	47.49	4.39	0	Mo
0	0	66	46	80	42	57.86	3.01	0.03	Mo
0	0	65	47	81	42	75.37	5.98	0.01	Mo
0	0	64	48	82	42	14.01	3.2	0.01	Mo
0	0	63	49	83	42	82.73	10.39	0.56	Mo
0	0	62	50	84	42	11.21	78.48	8.17	Mo
0	0	61	51	85	42	0.8	7.69	89.62	Mo
0	0	60	52	86	42	4.89	1.34	93.38	Mo
0	0	59	53	87	42	0.09	1.14	98.13	Mo
0	0	58	54	88	42	0.23	0.45	99.32	Mo
0	0	57	55	89	42	99.27	0	0	Mo
0	0	72	41	90	42	1.24	98.76	0	Mo
0	0	71	42	91	42	98.45	0	0	Mo
0	0	70	43	92	42	2.1	97.9	0	Mo
0	0	69	44	93	42	0.02	2.17	97.25	Mo
0	0	68	45	94	42	1.29	0.09	98.62	Mo
0	0	67	46	95	42	99.51	0	0	Mo
0	0	66	47	96	42	0.8	99.2	0	Mo
0	0	65	48	97	42	99.52	0	0	Mo
0	0	64	49	98	42	0.29	99.71	0	Mo
0	0	63	50	99	42	99.72	0	0	Mo
0	0	62	51	100	42	0	100	0	Mo
0	0	61	52	101	42	99.71	0	0	Mo
0	0	60	53	102	42	0	100	0	Mo
0	0	59	54	53	43	0	0	0	Tc
0	0	58	55	55	43	0	0	0	Tc
0	0	73	41	56	43	0	0	0	Tc
0	0	72	42	57	43	0	0	0	Tc
0	0	71	43	58	43	0	0	0	Tc
0	0	70	44	59	43	0	0	0	Tc
0	0	69	45	60	43	0	0	0	Tc
0	0	68	46	61	43	0	0	0	Tc
0	0	67	47	62	43	0	0	0	Tc
0	0	66	48	63	43	0	0	0	Tc
0	0	65	49	64	43	0	0	0	Tc
0	0	64	50	65	43	0	0	0	Tc
0	0	63	51	66	43	0.01	0	0	Tc
0	0	62	52	67	43	0.08	0	0	Tc
0	0	61	53	68	43	0.42	0	0	Tc
0	0	60	54	69	43	0.88	0	0	Tc
0	0	59	55	70	43	4.86	0	0	Tc
0	0	58	56	71	43	8.31	0	0	Tc
0	0	74	41	72	43	20.66	0	0	Tc
0	0	73	42	73	43	17.25	0.07	0	Tc
0	0	72	43	74	43	25.15	0	0	Tc
0	0	71	44	75	43	25.59	0.73	0	Tc
0	0	70	45	76	43	31.98	0.12	0	Tc
0	0	69	46	77	43	31.1	2.47	0	Tc
0	0	68	47	78	43	44.79	0.92	0	Tc
0	0	67	48	79	43	41.47	6.73	0	Tc
0	0	66	49	80	43	64.33	4.33	0.19	Tc
0	0	65	50	81	43	32.34	9.5	0.04	Tc
0	0	64	51	82	43	42.99	2.99	0.17	Tc
0	0	63	52	83	43	45.36	23.16	2.12	Tc
0	0	62	53	84	43	34.46	46.12	18.2	Tc
0	0	61	54	85	43	1.15	41.24	56.99	Tc
0	0	60	55	86	43	1.5	1.3	96.84	Tc
0	0	59	56	87	43	0.01	1.98	97.69	Tc
0	0	74	42	88	43	1.07	0.22	98.71	Tc
0	0	73	43	89	43	99.71	0	0	Tc
0	0	72	44	90	43	0.7	99.3	0	Tc
0	0	71	45	91	43	99.77	0	0	Tc
0	0	70	46	92	43	0.81	99.19	0	Tc
0	0	69	47	93	43	0	0.82	98.98	Tc
0	0	68	48	94	43	0.8	0	99.2	Tc
0	0	67	49	95	43	99.78	0	0	Tc
0	0	66	50	96	43	0.72	99.28	0	Tc
0	0	65	51	97	43	99.79	0	0	Tc
0	0	64	52	98	43	0.59	99.41	0	Tc
0	0	63	53	99	43	99.85	0	0	Tc
0	0	62	54	100	43	0.44	99.56	0	Tc
0	0	61	55	101	43	99.86	0	0	Tc
0	0	60	56	102	43	0.26	99.74	0	Tc
0	0	59	57	103	43	99.76	0	0	Tc
0	0	75	42	104	43	0	100	0	Tc
0	0	74	43	52	44	0	0	0	Ru
0	0	73	44	54	44	0	0	0	Ru
0	0	72	45	55	44	0	0	0	Ru
0	0	71	46	56	44	0	0	0	Ru
0	0	70	47	57	44	0	0	0	Ru
0	0	69	48	58	44	0	0	0	Ru
0	0	68	49	59	44	0	0	0	Ru
0	0	67	50	60	44	0	0	0	Ru
0	0	66	51	61	44	0	0	0	Ru
0	0	65	52	62	44	0	0	0	Ru
0	0	64	53	63	44	0	0	0	Ru
0	0	63	54	64	44	0	0	0	Ru
0	0	62	55	65	44	0	0	0	Ru
0	0	61	56	66	44	0	0	0	Ru
0	0	60	57	67	44	0	0	0	Ru
0	0	75	43	68	44	0	0	0	Ru
0	0	74	44	69	44	0	0	0	Ru
0	0	73	45	70	44	0.01	0	0	Ru
0	0	72	46	71	44	1.19	0	0	Ru
0	0	71	47	72	44	0	0	0	Ru
0	0	70	48	73	44	0.42	0	0	Ru
0	0	69	49	74	44	1.2	0	0	Ru
0	0	68	50	75	44	2.85	0	0	Ru
0	0	67	51	76	44	3.37	0	0	Ru
0	0	66	52	77	44	7.12	0	0	Ru
0	0	65	53	78	44	8.48	0	0	Ru
0	0	64	54	79	44	16.29	0.21	0	Ru
0	0	63	55	80	44	15.83	0	0	Ru
0	0	62	56	81	44	15.34	0.33	0	Ru
0	0	61	57	82	44	16.97	0.01	0	Ru
0	0	76	43	83	44	52.26	7.16	0	Ru
0	0	75	44	84	44	67.2	25.65	2.16	Ru
0	0	74	45	85	44	3.96	69.51	22.52	Ru
0	0	73	46	86	44	7.91	3.18	84.79	Ru
0	0	72	47	87	44	0.23	23.21	75.79	Ru
0	0	71	48	88	44	2.6	1.15	96.25	Ru
0	0	70	49	89	44	0	1.47	96.25	Ru
0	0	69	50	90	44	2.65	0	96.93	Ru
0	0	68	51	91	44	0.06	2.61	95.65	Ru
0	0	67	52	92	44	2.89	2.08	94.44	Ru
0	0	66	53	93	44	2.19	8.06	89.08	Ru
0	0	65	54	94	44	3.46	1.48	94.54	Ru
0	0	64	55	95	44	0.07	3.01	96.34	Ru
0	0	63	56	96	44	2.14	0.41	97.28	Ru
0	0	62	57	97	44	0.01	1.64	97.81	Ru
0	0	61	58	98	44	1.98	0.11	97.91	Ru
0	0	77	43	99	44	99.49	0	0	Ru
0	0	76	44	100	44	1.26	98.74	0	Ru
0	0	75	45	101	44	99.59	0	0	Ru
0	0	74	46	102	44	0.89	99.11	0	Ru
0	0	73	47	103	44	99.46	0	0	Ru
0	0	72	48	104	44	0	100	0	Ru
0	0	71	49	105	44	100	0	0	Ru
0	0	70	50	106	44	0	100	0	Ru
0	0	69	51	57	45	0	0	0	Rh
0	0	68	52	58	45	0	0	0	Rh
0	0	67	53	59	45	0	0	0	Rh
0	0	66	54	60	45	0	0	0	Rh
0	0	65	55	61	45	0	0	0	Rh
0	0	64	56	62	45	0	0	0	Rh
0	0	63	57	63	45	0	0	0	Rh
0	0	62	58	64	45	0	0	0	Rh
0	0	77	44	65	45	0	0	0	Rh
0	0	76	45	66	45	0	0	0	Rh
0	0	75	46	67	45	0	0	0	Rh
0	0	74	47	68	45	0	0	0	Rh
0	0	73	48	69	45	0	0	0	Rh
0	0	72	49	70	45	0.02	0	0	Rh
0	0	71	50	71	45	0	0	0	Rh
0	0	70	51	72	45	1.28	0	0	Rh
0	0	69	52	73	45	1.05	0	0	Rh
0	0	68	53	74	45	3.77	0	0	Rh
0	0	67	54	75	45	4.02	0	0	Rh
0	0	66	55	76	45	8.61	0	0	Rh
0	0	65	56	77	45	9.2	0.01	0	Rh
0	0	64	57	78	45	16.61	0	0	Rh
0	0	63	58	79	45	16.75	0.4	0	Rh
0	0	62	59	80	45	23.4	0.04	0	Rh
0	0	78	44	81	45	22.98	0.43	0	Rh
0	0	77	45	82	45	25.97	0.26	0	Rh
0	0	76	46	83	45	61.95	11.34	0.01	Rh
0	0	75	47	84	45	70.6	24.26	2.98	Rh
0	0	74	48	85	45	1.86	69.18	26.43	Rh
0	0	73	49	86	45	3.54	13.69	81.64	Rh
0	0	72	50	87	45	0.64	11.83	87.08	Rh
0	0	71	51	88	45	1.32	1	97.68	Rh
0	0	70	52	89	45	99.69	0	0	Rh
0	0	69	53	90	45	1.18	98.68	0	Rh
0	0	68	54	91	45	0.25	2.31	96.92	Rh
0	0	67	55	92	45	1.51	0.22	97.95	Rh
0	0	66	56	93	45	0.23	4.03	95.29	Rh
0	0	65	57	94	45	1.39	0.36	97.64	Rh
0	0	64	58	95	45	0.26	1.75	97.68	Rh
0	0	63	59	96	45	1.38	0.28	98.34	Rh
0	0	79	44	97	45	0	2.42	97.41	Rh
0	0	78	45	98	45	2.1	0.02	97.87	Rh
0	0	77	46	99	45	99.83	0	0	Rh
0	0	76	47	100	45	1.88	98.12	0	Rh
0	0	75	48	101	45	99.84	0	0	Rh
0	0	74	49	102	45	0.92	99.08	0	Rh
0	0	73	50	103	45	99.87	0	0	Rh
0	0	72	51	104	45	0.34	99.66	0	Rh
0	0	71	52	105	45	99.89	0	0	Rh
0	0	70	53	106	45	0	100	0	Rh
0	0	69	54	107	45	99.89	0	0	Rh
0	0	68	55	108	45	0	100	0	Rh
0	0	67	56	56	46	0	0	0	Pd
0	0	66	57	58	46	0	0	0	Pd
0	0	65	58	59	46	0	0	0	Pd
0	0	64	59	60	46	0	0	0	Pd
0	0	80	44	61	46	0	0	0	Pd
0	0	79	45	62	46	0	0	0	Pd
0	0	78	46	63	46	0	0	0	Pd
0	0	77	47	64	46	0	0	0	Pd
0	0	76	48	65	46	0	0	0	Pd
0	0	75	49	66	46	0	0	0	Pd
0	0	74	50	67	46	0	0	0	Pd
0	0	73	51	68	46	0	0	0	Pd
0	0	72	52	69	46	0	0	0	Pd
0	0	71	53	70	46	0	0	0	Pd
0	0	70	54	71	46	0	0	0	Pd
0	0	69	55	72	46	0	0	0	Pd
0	0	68	56	73	46	0	0	0	Pd
0	0	67	57	74	46	0	0	0	Pd
0	0	66	58	75	46	0	0	0	Pd
0	0	65	59	76	46	0.06	0	0	Pd
0	0	64	60	77	46	0.35	0	0	Pd
0	0	80	45	78	46	0.77	0	0	Pd
0	0	79	46	79	46	2.91	0	0	Pd
0	0	78	47	80	46	3.98	0	0	Pd
0	0	77	48	81	46	8.15	0	0	Pd
0	0	76	49	82	46	6.7	0	0	Pd
0	0	75	50	83	46	75.84	2.35	0	Pd
0	0	74	51	84	46	75.86	9.59	0	Pd
0	0	73	52	85	46	10.07	73.2	4.62	Pd
0	0	72	53	86	46	15.15	30.3	44.51	Pd
0	0	71	54	87	46	23.34	51.26	24.09	Pd
0	0	70	55	88	46	5.12	14.92	79.96	Pd
0	0	69	56	89	46	98.78	0	0	Pd
0	0	68	57	90	46	9.72	88.79	0	Pd
0	0	67	58	91	46	0.71	23.61	73.14	Pd
0	0	66	59	92	46	17.21	7.25	74.49	Pd
0	0	65	60	93	46	4.21	28.62	63	Pd
0	0	81	45	94	46	14.22	8.87	75.04	Pd
0	0	80	46	95	46	1.49	20.81	76.18	Pd
0	0	79	47	96	46	7.6	9.9	81.56	Pd
0	0	78	48	97	46	0.98	12.5	85.9	Pd
0	0	77	49	98	46	5.14	3.26	90.91	Pd
0	0	76	50	99	46	2.73	6.02	90.61	Pd
0	0	75	51	100	46	3.48	2.56	93.48	Pd
0	0	74	52	101	46	0.06	2.85	96.59	Pd
0	0	73	53	102	46	2.02	0.35	97.62	Pd
0	0	72	54	103	46	0	1.74	97.74	Pd
0	0	71	55	104	46	1.42	0.08	98.5	Pd
0	0	70	56	105	46	99.72	0	0	Pd
0	0	69	57	106	46	0.3	99.7	0	Pd
0	0	68	58	107	46	98.72	0	0	Pd
0	0	67	59	108	46	0	100	0	Pd
0	0	66	60	109	46	99.12	0	0	Pd
0	0	65	61	110	46	0	100	0	Pd
0	0	81	46	59	47	0	0	0	Ag
0	0	80	47	60	47	0	0	0	Ag
0	0	79	48	61	47	0	0	0	Ag
0	0	78	49	62	47	0	0	0	Ag
0	0	77	50	63	47	0	0	0	Ag
0	0	76	51	64	47	0	0	0	Ag
0	0	75	52	65	47	0	0	0	Ag
0	0	74	53	66	47	0	0	0	Ag
0	0	73	54	67	47	0	0	0	Ag
0	0	72	55	68	47	0	0	0	Ag
0	0	71	56	69	47	0	0	0	Ag
0	0	70	57	70	47	0	0	0	Ag
0	0	69	58	71	47	0	0	0	Ag
0	0	68	59	72	47	0	0	0	Ag
0	0	67	60	73	47	0	0	0	Ag
0	0	66	61	74	47	0.05	0	0	Ag
0	0	82	46	75	47	0.22	0	0	Ag
0	0	81	47	76	47	0.76	0	0	Ag
0	0	80	48	77	47	1.26	0	0	Ag
0	0	79	49	78	47	4.1	0	0	Ag
0	0	78	50	79	47	3.99	0	0	Ag
0	0	77	51	80	47	6.91	0	0	Ag
0	0	76	52	81	47	7.14	0.01	0	Ag
0	0	75	53	82	47	9.84	0	0	Ag
0	0	74	54	83	47	64.35	2.54	0	Ag
0	0	73	55	84	47	85.27	11.28	0.02	Ag
0	0	72	56	85	47	3.27	88.08	4.03	Ag
0	0	71	57	86	47	8.36	69.36	19.39	Ag
0	0	70	58	87	47	0.49	74.09	24.43	Ag
0	0	69	59	88	47	3.39	22.13	73.54	Ag
0	0	68	60	89	47	0.39	46.22	52.74	Ag
0	0	67	61	90	47	1.85	1.66	96.49	Ag
0	0	66	62	91	47	99.06	0	0	Ag
0	0	82	47	92	47	3.98	95.18	0	Ag
0	0	81	48	93	47	0.11	13.69	83.66	Ag
0	0	80	49	94	47	3.36	0.27	93.38	Ag
0	0	79	50	95	47	1.2	8.75	87.37	Ag
0	0	78	51	96	47	3.64	3.54	91.59	Ag
0	0	77	52	97	47	0.54	7.35	91.5	Ag
0	0	76	53	98	47	1.63	1.08	96.71	Ag
0	0	75	54	99	47	0.31	6.21	92.86	Ag
0	0	74	55	100	47	1.23	0.53	97.74	Ag
0	0	73	56	101	47	0.18	0.94	98.62	Ag
0	0	72	57	102	47	0.8	0.23	98.88	Ag
0	0	71	58	103	47	0	1.86	97.99	Ag
0	0	70	59	104	47	1.38	0.04	98.58	Ag
0	0	69	60	105	47	99.88	0	0	Ag
0	0	68	61	106	47	1.08	98.92	0	Ag
0	0	67	62	107	47	99.16	0	0	Ag
0	0	83	47	108	47	1.27	98.73	0	Ag
0	0	82	48	109	47	99.48	0	0	Ag
0	0	81	49	110	47	2	98	0	Ag
0	0	80	50	111	47	99.6	0	0	Ag
0	0	79	51	112	47	2.07	97.93	0	Ag
0	0	78	52	113	47	99.9	0	0	Ag
0	0	77	53	58	48	0	0	0	Cd
0	0	76	54	60	48	0	0	0	Cd
0	0	75	55	62	48	0	0	0	Cd
0	0	74	56	63	48	0	0	0	Cd
0	0	73	57	64	48	0	0	0	Cd
0	0	72	58	65	48	0	0	0	Cd
0	0	71	59	66	48	0	0	0	Cd
0	0	70	60	67	48	0	0	0	Cd
0	0	69	61	68	48	0	0	0	Cd
0	0	68	62	69	48	0	0	0	Cd
0	0	67	63	70	48	0	0	0	Cd
0	0	83	48	71	48	0	0	0	Cd
0	0	82	49	72	48	0	0	0	Cd
0	0	81	50	73	48	0	0	0	Cd
0	0	80	51	74	48	0	0	0	Cd
0	0	79	52	75	48	0	0	0	Cd
0	0	78	53	76	48	0	0	0	Cd
0	0	77	54	77	48	0	0	0	Cd
0	0	76	55	78	48	0	0	0	Cd
0	0	75	56	79	48	0.16	0	0	Cd
0	0	74	57	80	48	0.65	0	0	Cd
0	0	73	58	81	48	0.72	0	0	Cd
0	0	72	59	82	48	2.72	0	0	Cd
0	0	71	60	83	48	39.81	0	0	Cd
0	0	70	61	84	48	64.31	0.23	0	Cd
0	0	69	62	85	48	21.05	50.33	0	Cd
0	0	68	63	86	48	31.28	43.43	3.67	Cd
0	0	84	48	87	48	14.13	42.3	23.53	Cd
0	0	83	49	88	48	21.42	35.37	29.28	Cd
0	0	82	50	89	48	40.83	43.8	9.21	Cd
0	0	81	51	90	48	33.84	42.05	22.35	Cd
0	0	80	52	91	48	5.28	59.44	31.52	Cd
0	0	79	53	92	48	42.08	17.28	38.99	Cd
0	0	78	54	93	48	11.25	48.27	36.79	Cd
0	0	77	55	94	48	29.66	17.64	48.87	Cd
0	0	76	56	95	48	10.94	36.99	49.32	Cd
0	0	75	57	96	48	31.79	32.24	34.39	Cd
0	0	74	58	97	48	8.23	43.92	44.66	Cd
0	0	73	59	98	48	21.72	18.09	58.87	Cd
0	0	72	60	99	48	2.49	26.25	65.05	Cd
0	0	71	61	100	48	13.02	13.99	71.75	Cd
0	0	70	62	101	48	2.79	19.4	76.4	Cd
0	0	69	63	102	48	7.77	7.33	83.99	Cd
0	0	85	48	103	48	1.11	11.46	86.86	Cd
0	0	84	49	104	48	2.12	4.9	92.67	Cd
0	0	83	50	105	48	0.08	2.14	97.38	Cd
0	0	82	51	106	48	1.54	0.26	98.2	Cd
0	0	81	52	107	48	0.01	0.64	98.96	Cd
0	0	80	53	108	48	1.32	0.07	98.61	Cd
0	0	79	54	109	48	99.36	0	0	Cd
0	0	78	55	110	48	1.23	98.77	0	Cd
0	0	77	56	111	48	99.45	0	0	Cd
0	0	76	57	112	48	1.03	98.97	0	Cd
0	0	75	58	113	48	99.73	0	0	Cd
0	0	74	59	114	48	0.13	99.87	0	Cd
0	0	73	60	115	48	99.7	0	0	Cd
0	0	72	61	63	49	0	0	0	In
0	0	71	62	64	49	0	0	0	In
0	0	70	63	65	49	0	0	0	In
0	0	69	64	66	49	0	0	0	In
0	0	85	49	67	49	0	0	0	In
0	0	84	50	68	49	0	0	0	In
0	0	83	51	69	49	0	0	0	In
0	0	82	52	70	49	0	0	0	In
0	0	81	53	71	49	0	0	0	In
0	0	80	54	72	49	0	0	0	In
0	0	79	55	73	49	0	0	0	In
0	0	78	56	74	49	0	0	0	In
0	0	77	57	75	49	0	0	0	In
0	0	76	58	76	49	0	0	0	In
0	0	75	59	77	49	0	0	0	In
0	0	74	60	78	49	0.02	0	0	In
0	0	73	61	79	49	0.05	0	0	In
0	0	72	62	80	49	0.86	0	0	In
0	0	71	63	81	49	1.19	0	0	In
0	0	70	64	82	49	4.3	0	0	In
0	0	86	49	83	49	10.61	0.01	0	In
0	0	85	50	84	49	92.69	0.21	0	In
0	0	84	51	85	49	6.47	86.67	0.02	In
0	0	83	52	86	49	23.51	64.26	7.39	In
0	0	82	53	87	49	4.36	76.97	12.08	In
0	0	81	54	88	49	14.92	67.39	14.33	In
0	0	80	55	89	49	1.24	84.67	12.08	In
0	0	79	56	90	49	11.41	69.62	17.88	In
0	0	78	57	91	49	0.65	79.18	18.85	In
0	0	77	58	92	49	9.2	24.77	62.97	In
0	0	76	59	93	49	2.22	51.95	43.95	In
0	0	75	60	94	49	3.84	6.1	89.52	In
0	0	74	61	95	49	0.31	31.3	66.86	In
0	0	73	62	96	49	9.22	7.06	82.95	In
0	0	72	63	97	49	1.13	41.93	56.09	In
0	0	71	64	98	49	5.36	11.18	82.75	In
0	0	70	65	99	49	2.87	16.04	80.39	In
0	0	86	50	100	49	2.99	7.26	89.07	In
0	0	85	51	101	49	0.71	10.89	87.84	In
0	0	84	52	102	49	2.09	3.55	93.46	In
0	0	83	53	103	49	0.75	3.27	95.29	In
0	0	82	54	104	49	1.78	0.88	97.05	In
0	0	81	55	105	49	0.1	2.07	97.68	In
0	0	80	56	106	49	1.52	0.2	98.28	In
0	0	79	57	107	49	0	1.45	98.4	In
0	0	78	58	108	49	1.27	0	98.73	In
0	0	77	59	109	49	99.86	0	0	In
0	0	76	60	110	49	0.74	99.26	0	In
0	0	75	61	111	49	99.89	0	0	In
0	0	74	62	112	49	0.51	99.49	0	In
0	0	73	63	113	49	99.89	0	0	In
0	0	72	64	114	49	0.51	99.49	0	In
0	0	71	65	115	49	99.88	0	0	In
0	0	87	50	116	49	0.34	99.66	0	In
0	0	86	51	117	49	99.9	0	0	In
0	0	85	52	62	50	0	0	0	Sn
0	0	84	53	64	50	0	0	0	Sn
0	0	83	54	65	50	0	0	0	Sn
0	0	82	55	66	50	0	0	0	Sn
0	0	81	56	67	50	0	0	0	Sn
0	0	80	57	68	50	0	0	0	Sn
0	0	79	58	69	50	0	0	0	Sn
0	0	78	59	70	50	0	0	0	Sn
0	0	77	60	71	50	0	0	0	Sn
0	0	76	61	72	50	0	0	0	Sn
0	0	75	62	73	50	0	0	0	Sn
0	0	74	63	74	50	0	0	0	Sn
0	0	73	64	75	50	0	0	0	Sn
0	0	72	65	76	50	0	0	0	Sn
0	0	88	50	77	50	0	0	0	Sn
0	0	87	51	78	50	0	0	0	Sn
0	0	86	52	79	50	0	0	0	Sn
0	0	85	53	80	50	0	0	0	Sn
0	0	84	54	81	50	0	0	0	Sn
0	0	83	55	82	50	0	0	0	Sn
0	0	82	56	83	50	0.02	0	0	Sn
0	0	81	57	84	50	57.91	0	0	Sn
0	0	80	58	85	50	51.74	5.47	0	Sn
0	0	79	59	86	50	64.42	1	0	Sn
0	0	78	60	87	50	49.49	23.32	0	Sn
0	0	77	61	88	50	83.3	3.94	0.01	Sn
0	0	76	62	89	50	48.84	31.96	0.45	Sn
0	0	75	63	90	50	88.07	3.55	0.63	Sn
0	0	74	64	91	50	33.88	6.68	0.4	Sn
0	0	73	65	92	50	91.65	4.22	1.46	Sn
0	0	72	66	93	50	20.25	35.27	3.24	Sn
0	0	88	51	94	50	76.87	5.78	4.6	Sn
0	0	87	52	95	50	42.24	36.01	3.66	Sn
0	0	86	53	96	50	72.22	11.51	5.83	Sn
0	0	85	54	97	50	35.25	43.74	6.39	Sn
0	0	84	55	98	50	57.61	26.65	9.47	Sn
0	0	83	56	99	50	12.72	64.54	12.25	Sn
0	0	82	57	100	50	41.9	37.71	15.56	Sn
0	0	81	58	101	50	10.27	60.62	25.61	Sn
0	0	80	59	102	50	27.46	32.42	35.97	Sn
0	0	79	60	103	50	7.85	35.11	53.33	Sn
0	0	78	61	104	50	15.71	17.25	66.04	Sn
0	0	77	62	105	50	2.17	21.88	75.47	Sn
0	0	76	63	106	50	6.55	6.59	86.08	Sn
0	0	75	64	107	50	0.23	5.06	94.2	Sn
0	0	74	65	108	50	2.11	3.38	93.96	Sn
0	0	73	66	109	50	1.68	1.88	95.78	Sn
0	0	89	51	110	50	2.04	0.96	96.48	Sn
0	0	88	52	111	50	0.04	1.54	98.02	Sn
0	0	87	53	112	50	1.39	0.32	98.29	Sn
0	0	86	54	113	50	0.01	1.81	97.76	Sn
0	0	85	55	114	50	1.22	0.08	98.69	Sn
