N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
92	66	13	19	32	16	74.69	9.8	9.27	S
94	66	23	10	33	16	18.53	27.95	11.21	S
95	66	22	11	34	16	75.82	4.25	15.67	S
96	66	21	12	35	16	2.24	44.05	49.3	S
97	66	20	13	36	16	15.06	18.08	66.85	S
98	66	19	14	37	16	97.37	0	0	S
98	67	18	15	38	16	3.94	96.06	0	S
94	68	17	16	39	16	98.08	0	0	S
96	68	16	17	40	16	0.82	99.18	0	S
98	68	15	18	41	16	98.36	0	0	S
99	68	14	19	42	16	1.75	97.29	0	S
100	68	24	10	43	16	0.07	1.67	96.45	S
102	68	23	11	44	16	0	0.52	99.48	S
100	69	22	12	18	17	0	0	0	Cl
98	70	21	13	19	17	0	0	0	Cl
100	70	20	14	20	17	0	0	0	Cl
101	70	19	15	21	17	0	0	0	Cl
102	70	18	16	22	17	0	0	0	Cl
103	70	17	17	23	17	0	0	0	Cl
104	70	16	18	24	17	0	0	0	Cl
106	70	15	19	25	17	0	0	0	Cl
104	71	14	20	26	17	1.1	0	0	Cl
105	71	24	11	27	17	7.08	0	0	Cl
102	72	23	12	28	17	11.95	0	0	Cl
104	72	22	13	29	17	17.92	0.36	0	Cl
105	72	21	14	30	17	56.59	0.22	0	Cl
106	72	20	15	31	17	61.07	23.1	0	Cl
107	72	19	16	32	17	64.99	22.6	4.09	Cl
108	72	18	17	33	17	40.21	36.56	5.86	Cl
107	73	17	18	34	17	40.59	24.96	29.21	Cl
108	73	16	19	35	17	3.24	47.47	46.87	Cl
106	74	15	20	36	17	7.14	8.33	83.66	Cl
108	74	25	11	37	17	0	16.4	82.34	Cl
109	74	24	12	38	17	18.78	2.34	75.71	Cl
110	74	23	13	39	17	3.28	15.3	78.64	Cl
112	74	22	14	40	17	6.62	7.46	85.91	Cl
110	75	21	15	41	17	99.04	0	0	Cl
112	75	20	16	42	17	2.1	97.9	0	Cl
108	76	19	17	43	17	99.14	0	0	Cl
110	76	18	18	44	17	2.6	97.4	0	Cl
111	76	17	19	45	17	99.06	0	0	Cl
112	76	16	20	46	17	0	100	0	Cl
113	76	15	21	18	18	0	0	0	Ar
114	76	26	11	20	18	0	0	0	Ar
116	76	25	12	21	18	0	0	0	Ar
114	77	24	13	22	18	0	0	0	Ar
116	77	23	14	23	18	0	0	0	Ar
112	78	22	15	24	18	0	0	0	Ar
114	78	21	16	25	18	0	0	0	Ar
116	78	20	17	26	18	0	0	0	Ar
117	78	19	18	27	18	0	0	0	Ar
118	78	18	19	28	18	0	0	0	Ar
120	78	17	20	29	18	0.09	0	0	Ar
118	79	16	21	30	18	24.73	0	0	Ar
116	80	26	12	31	18	22.86	0.31	0	Ar
118	80	25	13	32	18	18.09	0.06	0	Ar
119	80	24	14	33	18	26.87	9.07	0	Ar
120	80	23	15	34	18	35.25	6.1	0.15	Ar
121	80	22	16	35	18	37.62	27.44	4.23	Ar
122	80	21	17	36	18	79.81	6.95	7.08	Ar
124	80	20	18	37	18	11.05	67.58	11.98	Ar
122	81	19	19	38	18	76.63	3.87	9.26	Ar
124	81	18	20	39	18	13.72	63.5	18.47	Ar
122	82	17	21	40	18	43.4	33.58	22.27	Ar
124	82	16	22	41	18	0.86	40.06	56.18	Ar
125	82	27	12	42	18	29.05	5.84	64.82	Ar
126	82	26	13	43	18	0.04	15.28	82.75	Ar
126	83	25	14	44	18	4.56	0.85	94.58	Ar
142	90	24	15	45	18	98.07	0	0	Ar
142	92	23	16	46	18	0	100	0	Ar
143	92	22	17	47	18	98.14	0	0	Ar
146	92	21	18	48	18	0	100	0	Ar
0	0	20	19	49	18	99.36	0	0	Ar
0	0	19	20	20	19	0	0	0	K
0	0	18	21	21	19	0	0	0	K
0	0	17	22	22	19	0	0	0	K
0	0	28	12	23	19	0	0	0	K
0	0	27	13	24	19	0	0	0	K
0	0	26	14	25	19	0	0	0	K
0	0	25	15	26	19	0	0	0	K
0	0	24	16	27	19	0	0	0	K
0	0	23	17	28	19	0	0	0	K
0	0	22	18	29	19	1.02	0	0	K
0	0	21	19	30	19	21.32	0	0	K
0	0	20	20	31	19	24.75	1.54	0	K
0	0	19	21	32	19	61.86	2.73	0	K
0	0	18	22	33	19	17.84	4.9	0	K
0	0	17	23	34	19	29.4	2.8	0.2	K
0	0	28	13	35	19	9.34	25.82	1.64	K
0	0	27	14	36	19	29.14	9.41	4.68	K
0	0	26	15	37	19	31.86	47.01	5.7	K
0	0	25	16	38	19	13.68	54.9	29.02	K
0	0	24	17	39	19	1.09	53.46	42.09	K
0	0	23	18	40	19	5.63	2.88	90.02	K
0	0	22	19	41	19	0	47.58	51.55	K
0	0	21	20	42	19	28.94	3.24	66.65	K
0	0	20	21	43	19	0	28.17	71.08	K
0	0	19	22	44	19	1.93	1.76	96.31	K
0	0	18	23	45	19	99.32	0	0	K
0	0	29	13	46	19	1.66	98.34	0	K
0	0	28	14	47	19	99.43	0	0	K
0	0	27	15	48	19	1.27	98.73	0	K
0	0	26	16	49	19	99.5	0	0	K
0	0	25	17	50	19	0.74	99.26	0	K
0	0	24	18	51	19	99.6	0	0	K
0	0	23	19	20	20	0	0	0	Ca
0	0	22	20	22	20	0	0	0	Ca
0	0	21	21	23	20	0	0	0	Ca
0	0	20	22	24	20	0	0	0	Ca
0	0	19	23	25	20	0	0	0	Ca
0	0	18	24	26	20	0	0	0	Ca
0	0	30	13	27	20	0	0	0	Ca
0	0	29	14	28	20	0	0	0	Ca
0	0	28	15	29	20	0	0	0	Ca
0	0	27	16	30	20	0	0	0	Ca
0	0	26	17	31	20	1.57	0	0	Ca
0	0	25	18	32	20	1.59	0	0	Ca
0	0	24	19	33	20	0.57	0	0	Ca
0	0	23	20	34	20	6.02	0	0	Ca
0	0	22	21	35	20	13.3	1.39	0	Ca
0	0	21	22	36	20	1.32	3.49	0.07	Ca
0	0	20	23	37	20	13.16	1.38	1.03	Ca
0	0	19	24	38	20	4.66	2.17	0.04	Ca
0	0	30	14	39	20	45.36	6.22	0.6	Ca
0	0	29	15	40	20	5.53	5.83	1.49	Ca
0	0	28	16	41	20	65.54	12.97	4.85	Ca
0	0	27	17	42	20	88.5	2.94	7.63	Ca
0	0	26	18	43	20	0.32	83.43	13.78	Ca
0	0	25	19	44	20	62.63	12.72	23.06	Ca
0	0	24	20	45	20	0.46	52.75	45.05	Ca
0	0	23	21	46	20	12.43	24.37	62.71	Ca
0	0	22	22	47	20	0.09	6.68	91.94	Ca
0	0	21	23	48	20	3.13	0.63	96.24	Ca
0	0	20	24	49	20	99.05	0	0	Ca
0	0	19	25	50	20	1.85	98.15	0	Ca
0	0	31	14	51	20	98.8	0	0	Ca
0	0	30	15	52	20	0	100	0	Ca
0	0	29	16	53	20	99.81	0	0	Ca
0	0	28	17	24	21	0	0	0	Sc
0	0	27	18	25	21	0	0	0	Sc
0	0	26	19	26	21	0	0	0	Sc
0	0	25	20	27	21	0	0	0	Sc
0	0	24	21	28	21	0	0	0	Sc
0	0	23	22	29	21	0	0	0	Sc
0	0	22	23	30	21	0	0	0	Sc
0	0	21	24	31	21	0.04	0	0	Sc
0	0	20	25	32	21	0.09	0	0	Sc
0	0	19	26	33	21	0.38	0	0	Sc
0	0	31	15	34	21	14.76	0.02	0	Sc
0	0	30	16	35	21	14.71	0.87	0	Sc
0	0	29	17	36	21	24.26	0.79	0.02	Sc
0	0	28	18	37	21	9.68	8.07	0.19	Sc
0	0	27	19	38	21	36.04	0.94	0.73	Sc
0	0	26	20	39	21	13.07	27.81	0.66	Sc
0	0	25	21	40	21	46.14	1.25	2.29	Sc
