N	Z	P1n	P2n	P3n	P4n	P5n
39	17	0	2.6	1.8	40.8	52.6
40	17	0.6	0.1	3.6	2.7	91.3
41	17	0	0.5	0	2.6	95.4
42	17	0.1	0	0.4	0.1	98.2
43	17	0	0.1	0	0.4	98.4
44	17	0	0	0.1	0	98.9
45	17	0	0	0	0.1	99
19	18	0	0	0	0	0
21	18	0	0	0	0	0
23	18	0	0	0	0	0
24	18	0	0	0	0	0
25	18	0.8	0	0	0	0
26	18	0.9	0	0	0	0
27	18	3.3	0.8	0	0	0
28	18	9.3	0.6	0	0	0
29	18	28	1.7	0.3	0.1	0
30	18	56.7	1.3	0.5	0.2	0
31	18	57.9	8.7	0.6	0.4	0.2
32	18	56.4	6.5	1	0.3	0.3
33	18	6	54.7	1.3	0.7	0.5
34	18	11.1	47.6	4	0.6	0.7
35	18	45.1	8.9	3	0.8	0.7
36	18	40.9	3.5	5.1	0.6	0.8
37	18	49.4	28.9	3.3	4.7	1.4
38	18	69.1	5	4.6	3.5	1.9
39	18	4.7	69.3	8.7	4.6	6.9
40	18	11	52.4	17.9	2.4	9.1
41	18	0.6	5.1	5.8	68.9	16.4
42	18	1.2	1.1	5.1	13.7	76.2
43	18	0	1.2	0.8	3.4	92.6
44	18	0	0	1.2	0.9	95.6
45	18	0	0	0	0.5	97.8
23	19	0	0	0	0	0
24	19	0	0	0	0	0
25	19	1.1	0	0	0	0
26	19	1.5	0	0	0	0
27	19	1.7	0.5	0	0	0
28	19	13.2	0.6	0	0	0
29	19	41.2	1.7	0.3	0.1	0
30	19	61.8	1.2	0.5	0.1	0
31	19	39	5.4	0.4	0.3	0.1
32	19	69.9	2	0.7	0.2	0.2
33	19	33.8	7.9	0.5	0.4	0.3
34	19	79.6	5	1.1	0.3	0.4
35	19	72.2	11.2	1.5	0.7	0.6
36	19	83.8	3.2	4.5	0.4	0.8
37	19	18.4	68.5	3.2	2.7	1
38	19	76.3	10.1	5.5	2	1.4
39	19	2.2	79.4	6	5.8	3
40	19	11.7	56.1	20.5	2.6	5.7
41	19	0.2	6.8	9.9	70.7	10.1
42	19	1	0.8	10.2	54.5	31.7
43	19	0	0.9	0.5	6.7	90.3
44	19	0.3	0	1.1	0.9	96.4
45	19	0	0.2	0	1	97.4
46	19	0	0	0.2	0	98.5
47	19	0	0	0	0.2	98.5
49	19	0	0	0	0.1	98.8
51	19	0	0	0	0.1	98.9
21	20	0	0	0	0	0
25	20	0	0	0	0	0
27	20	0	0	0	0	0
28	20	0	0	0	0	0
29	20	1	0	0	0	0
30	20	1.6	0	0	0	0
31	20	1.4	0.7	0.1	0	0
32	20	1.8	0.4	0.1	0	0
33	20	2	0.8	0.2	0.2	0
34	20	2.9	0.5	0.3	0.1	0
35	20	3	1.2	0.3	0.3	0.2
36	20	4	0.6	0.4	0.2	0.2
37	20	3.4	3	0.4	0.3	0.4
38	20	4.5	1.7	0.6	0.2	0.4
39	20	9.8	4.4	1.5	0.5	0.7
40	20	6.3	3	2	0.3	0.7
41	20	60.7	17.6	2.7	3.6	1.3
42	20	70.9	5.4	4.1	3.3	1.9
43	20	3	61.5	17.9	4.9	7.3
44	20	7	14.4	58.8	3.7	10.3
45	20	0.2	4.7	4.2	67.3	19.7
46	20	1.8	1.2	6.6	18.9	67.3
47	20	0	1.4	0.4	4.9	90.4
48	20	0.9	0	2.2	1.1	92.1
49	20	0	0.3	0	1.3	95.9
50	20	0	0	0.6	0	96.2
51	20	0	0	0	0.7	97.2
53	20	0	0	0	0.1	98.3
25	21	0	0	0	0	0
26	21	0	0	0	0	0
27	21	0	0	0	0	0
28	21	0	0	0	0	0
29	21	1.6	0.1	0	0	0
30	21	3.6	0.1	0	0	0
31	21	2.5	0.9	0.1	0	0
32	21	3.9	0.5	0.2	0	0
33	21	2.7	1.1	0.2	0.2	0
34	21	6	0.6	0.4	0.2	0
35	21	5	1.7	0.3	0.3	0.2
36	21	13	0.9	0.5	0.2	0.2
37	21	11.5	3.4	0.4	0.4	0.4
38	21	27	1.8	0.7	0.2	0.4
39	21	68.7	6.7	1.1	0.6	0.6
40	21	75.1	2.8	2.2	0.3	0.7
41	21	13.9	74.2	2.9	2.6	1.1
42	21	61.9	24.2	5.9	2.4	1.5
43	21	0.9	67.9	17.2	6.6	4.1
44	21	4.7	8.1	73.3	2.9	8.1
45	21	0.1	4.2	5.4	75.2	12.6
46	21	1.3	0.6	11.1	32.9	51.9
47	21	0	1.4	0.2	10.9	85.5
48	21	0.6	0	2	0.9	94.7
49	21	0	0.6	0	2.5	95.2
50	21	0.2	0	0.7	0	97.4
51	21	0	0.2	0	1	97.3
52	21	0	0	0.2	0	98.1
53	21	0	0	0	0.3	98.3
55	21	0	0	0	0.1	98.6
29	22	0	0	0	0	0
30	22	0	0	0	0	0
31	22	0.9	0	0	0	0
32	22	1	0	0	0	0
33	22	1.2	0.5	0	0	0
34	22	1.6	0.3	0	0	0
35	22	1.4	0.7	0.2	0	0
36	22	2	0.4	0.3	0	0
37	22	2.4	0.9	0.3	0.2	0.1
38	22	2.9	0.5	0.3	0.2	0
39	22	4.3	1.5	0.3	0.3	0.3
40	22	4.3	0.7	0.4	0.2	0.2
41	22	12.8	4.3	0.7	0.4	0.5
42	22	13.8	3.2	1.2	0.3	0.6
43	22	66.9	11.2	3.3	1.4	0.9
44	22	64.3	3.4	4.6	1.2	1.1
45	22	10.9	69.7	3.5	5.4	2.8
46	22	62.2	13.2	4.2	3.6	4.8
47	22	2.4	50.3	24.9	7	9.7
48	22	9.9	28.8	39.6	3.3	11.7
49	22	0.9	8.2	8.3	60.1	18.2
50	22	3.4	3.9	21.5	40	26.3
51	22	0	4.2	0.4	17.6	74.1
52	22	1.9	0.9	4.3	5.3	83.4
53	22	0	1.3	0.2	3.7	92.1
54	22	0.8	0.1	1.8	1.1	92.7
55	22	0	0.3	0	1	96.6
56	22	0	0	0.7	0	96.4
57	22	0	0	0	0.2	97.9
29	23	0	0	0	0	0
30	23	0	0	0	0	0
31	23	1.7	0	0	0	0
32	23	2.4	0	0	0	0
33	23	2	0.7	0	0	0
34	23	3.2	0.4	0	0	0
35	23	2.5	0.9	0.2	0	0
36	23	4.3	0.5	0.3	0	0
37	23	4.4	1.1	0.3	0.2	0
38	23	6.4	0.6	0.4	0.2	0
39	23	8.5	1.8	0.4	0.3	0.2
40	23	11.2	0.9	0.5	0.2	0.2
41	23	62.4	5.5	0.6	0.4	0.4
42	23	82.9	3.5	1.3	0.3	0.5
43	23	50.3	38.6	2.5	1	0.8
44	23	80.8	6.9	5	0.8	1
45	23	4.3	81.2	3.3	5.2	1.5
46	23	31.3	50	8.1	3.5	3.1
47	23	1.2	61.8	19.4	7.3	6.7
48	23	7.1	13	64.5	2.5	9.9
49	23	0.3	9.8	9.9	64.3	12.8
50	23	2.4	1.9	31.6	39.5	22.4
51	23	0	4.2	0.4	54.2	38.8
52	23	1	0.3	5.3	4.7	86.7
53	23	0	1.2	0	6.2	90.7
54	23	0.4	0	1.6	0.8	95.5
55	23	0	0.4	0	1.4	96.6
56	23	0.1	0	0.5	0	97.8
57	23	0	0.1	0	0.4	98
58	23	0	0	0.1	0	98.4
59	23	0	0	0	0.2	98.5
27	24	0	0	0	0	0
31	24	0	0	0	0	0
32	24	0	0	0	0	0
33	24	0.3	0	0	0	0
34	24	0	0	0	0	0
35	24	1.1	0.2	0	0	0
36	24	1.4	0	0	0	0
37	24	1.4	0.6	0.1	0	0
38	24	1.7	0.4	0	0	0
39	24	2.1	0.7	0.2	0.1	0
40	24	2.1	0.4	0.3	0	0
41	24	4.7	1.2	0.3	0.2	0.1
42	24	5.9	0.8	0.4	0.2	0.2
43	24	12	4	0.5	0.4	0.4
44	24	11.3	2.3	0.8	0.3	0.4
45	24	53.1	6.5	1.8	0.6	0.7
46	24	29.7	3.7	2.8	0.4	0.7
47	24	63.1	13.3	3.7	2.8	1.1
48	24	59.8	3.1	5.5	1.8	1.3
49	24	14.6	63.5	2.5	6.5	3.4
50	24	57.1	17.4	4.3	4.7	5.7
51	24	2.6	64.6	8.8	5.9	11
52	24	9	28.2	38.8	3.6	13.6
53	24	1.2	9	11.2	55.1	18.9
54	24	3.3	3.7	20.5	41.2	26.1
55	24	0.1	3.8	1.3	13.6	77.5
56	24	2.4	0.7	4.2	4.4	83.9
57	24	0	1.6	0.6	3.5	91.7
58	24	1.4	0.4	1.8	0.9	91.4
59	24	0	0.3	0	1.5	96.1
60	24	0	0	0.6	0.2	96.4
61	24	0	0	0	0.2	98.1
31	25	0	0	0	0	0
32	25	0	0	0	0	0
33	25	0	0	0	0	0
34	25	0.9	0	0	0	0
35	25	1.8	0.3	0	0	0
36	25	2.5	0	0	0	0
37	25	2.1	0.8	0.1	0	0
38	25	3.1	0.5	0.1	0	0
39	25	3.7	0.9	0.3	0.1	0
40	25	4.7	0.5	0.3	0	0
41	25	8.2	1.6	0.3	0.3	0.1
42	25	20.6	1	0.5	0.2	0.1
43	25	59.4	5.1	0.5	0.4	0.3
44	25	80	3.2	0.9	0.3	0.4
45	25	75.8	11.1	1.2	0.6	0.6
46	25	82.9	4.8	2.9	0.4	0.7
47	25	36.2	49.8	4.1	1.8	0.9
48	25	78.4	6.2	6.7	1.2	1.1
49	25	7.7	75.3	2.7	7.5	1.7
50	25	26.7	52	7.9	5.4	4
51	25	1.2	69.7	8.7	9.2	7.2
52	25	5	8.7	66.1	4.1	13.5
53	25	0.2	7.6	8.1	64.6	16.9
54	25	1.8	1.6	13.9	40.5	40.1
55	25	0	2.8	1	17.7	76.3
56	25	0.9	0.1	4.8	1.7	90.5
57	25	0	0.9	0	5	92.3
58	25	0.4	0	1.7	0.6	95.6
59	25	0	0.3	0	1.3	96.9
60	25	0.1	0	0.4	0	97.9
61	25	0	0.1	0	0.4	98.2
62	25	0	0	0.1	0	98.5
63	25	0	0	0	0.1	98.7
29	26	0	0	0	0	0
33	26	0	0	0	0	0
34	26	0	0	0	0	0
35	26	0	0	0	0	0
36	26	0	0	0	0	0
37	26	0.8	0	0	0	0
38	26	0.6	0	0	0	0
39	26	1.2	0.4	0	0	0
40	26	1.4	0.1	0	0	0
41	26	1.8	0.7	0.2	0	0
42	26	2.7	0.5	0.2	0	0
43	26	5.6	1.1	0.3	0.2	0
44	26	6.6	0.7	0.4	0.2	0
45	26	8.8	2.3	0.4	0.3	0.2
46	26	9.6	1.2	0.5	0.2	0.3
47	26	13.5	6.7	0.6	0.4	0.5
48	26	12	4.5	1	0.3	0.5
49	26	47.7	9.3	2.7	0.7	0.7
50	26	40	6.8	4.5	0.5	0.8
51	26	48	20.8	6.3	4.6	1.1
52	26	62	10.1	8.5	5	1.8
53	26	5.8	63.7	7.3	9.5	6.7
54	26	12.6	43	19.2	4.5	13
55	26	1.7	14.2	34.1	25.7	18.4
56	26	5	7.5	48	10.5	22.4
57	26	1	5.6	4.3	45.6	38.9
58	26	2.9	2.8	13.3	22.4	52.4
59	26	0	4.3	0.4	10.5	81.4
60	26	2.7	0.7	4.1	3.7	84.4
61	26	0	0.9	0.2	3.7	92.7
62	26	0.7	0	2.6	1.2	91.7
63	26	0	0.1	0	0.5	97.5
64	26	0	0	0.3	0	97.4
65	26	0	0	0	0.1	98.4
33	27	0	0	0	0	0
