N	Z	bn	b2n
33	27	2	2
32	28	2	2
31	29	2	2
30	30	1	1
29	31	1	1
28	32	0	0
27	33	0	0
40	21	1	1
39	22	1	1
38	23	2	2
37	24	2	2
36	25	2	2
35	26	2	2
34	27	2	2
33	28	2	2
32	29	2	2
31	30	1	1
30	31	1	1
29	32	1	0
28	33	0	0
40	22	1	1
39	23	1	1
38	24	1	1
37	25	1	1
36	26	2	2
35	27	2	2
34	28	2	2
33	29	2	2
32	30	2	1
31	31	1	1
30	32	1	1
29	33	0	0
41	22	1	1
40	23	1	1
39	24	1	2
38	25	1	2
37	26	2	2
36	27	2	2
35	28	2	2
34	29	2	2
33	30	2	2
32	31	1	1
31	32	1	1
30	33	0	0
41	23	1	1
40	24	1	1
39	25	2	1
38	26	2	2
37	27	2	2
36	28	2	2
35	29	2	2
34	30	2	2
33	31	2	1
32	32	1	1
31	33	0	0
30	34	0	0
42	23	1	1
41	24	1	1
40	25	2	2
39	26	2	2
38	27	2	2
37	28	2	2
36	29	2	2
35	30	2	2
34	31	2	2
33	32	1	1
32	33	1	0
31	34	0	0
43	23	1	1
42	24	1	1
41	25	2	2
40	26	2	2
39	27	2	2
38	28	2	2
37	29	2	2
36	30	2	2
35	31	2	2
34	32	2	1
33	33	1	1
32	34	0	0
43	24	1	1
42	25	1	1
41	26	2	2
40	27	2	2
39	28	2	2
38	29	2	2
37	30	2	2
36	31	2	2
35	32	2	2
34	33	1	1
33	34	0	0
32	35	0	0
44	24	1	1
43	25	1	1
42	26	2	2
41	27	2	2
40	28	2	2
39	29	2	2
38	30	2	2
37	31	2	2
36	32	2	2
35	33	2	1
34	34	1	0
33	35	0	0
44	25	1	1
43	26	1	1
42	27	2	2
41	28	2	2
40	29	2	2
39	30	2	2
38	31	2	2
37	32	2	2
36	33	2	2
35	34	1	1
34	35	0	0
33	36	0	0
45	25	1	1
44	26	1	1
43	27	2	2
42	28	2	2
41	29	2	2
40	30	2	2
39	31	2	2
38	32	2	2
37	33	2	2
36	34	2	1
35	35	1	0
34	36	0	0
46	25	1	1
45	26	1	1
44	27	2	2
43	28	2	2
42	29	2	2
41	30	2	2
40	31	2	2
39	32	2	2
38	33	2	2
37	34	2	2
36	35	1	1
35	36	0	0
34	37	0	0
46	26	1	1
45	27	1	1
44	28	2	2
43	29	2	2
42	30	2	2
41	31	2	2
40	32	2	2
39	33	2	2
38	34	2	2
37	35	2	2
36	36	1	0
35	37	0	0
47	26	1	1
46	27	1	1
45	28	2	2
44	29	2	2
43	30	2	2
42	31	2	2
41	32	2	2
40	33	2	2
39	34	2	2
38	35	2	2
37	36	1	1
36	37	0	0
35	38	0	0
48	26	1	1
47	27	1	1
46	28	1	1
45	29	2	2
44	30	2	2
43	31	2	2
42	32	2	2
41	33	2	2
40	34	2	2
39	35	2	2
38	36	1	1
37	37	1	0
36	38	0	0
48	27	1	1
47	28	1	1
46	29	2	2
45	30	2	2
44	31	2	2
43	32	2	2
42	33	2	2
41	34	2	2
40	35	2	2
39	36	2	1
38	37	1	0
37	38	0	0
49	27	1	1
48	28	1	1
47	29	2	2
46	30	2	2
45	31	2	2
44	32	2	2
43	33	2	2
42	34	2	2
41	35	2	2
40	36	2	2
39	37	2	1
38	38	0	0
37	39	0	0
49	28	1	1
48	29	1	1
47	30	2	2
46	31	2	2
45	32	2	2
44	33	2	2
43	34	2	2
42	35	2	2
41	36	2	2
40	37	2	2
39	38	1	0
38	39	0	0
50	28	1	1
49	29	1	2
48	30	2	2
47	31	2	2
46	32	2	2
45	33	2	2
44	34	2	2
43	35	2	2
42	36	2	2
41	37	2	2
40	38	1	1
39	39	0	0
38	40	0	0
51	28	1	1
50	29	1	1
49	30	2	2
48	31	2	2
47	32	2	2
46	33	2	2
45	34	2	2
44	35	2	2
43	36	2	2
42	37	2	2
41	38	1	1
40	39	1	0
39	40	0	0
51	29	1	1
50	30	2	2
49	31	2	2
48	32	2	2
47	33	2	2
46	34	2	2
45	35	2	2
44	36	2	2
43	37	2	2
42	38	2	1
41	39	1	1
40	40	0	0
52	29	1	1
51	30	2	2
50	31	2	2
49	32	2	2
48	33	2	2
47	34	2	2
46	35	2	2
45	36	2	2
44	37	2	2
43	38	2	2
42	39	2	1
41	40	0	0
40	41	0	0
53	29	1	1
52	30	1	1
51	31	2	2
50	32	2	2
49	33	2	2
48	34	2	2
47	35	2	2
46	36	2	2
45	37	2	2
44	38	2	2
43	39	2	1
42	40	1	0
41	41	0	0
53	30	1	1
52	31	2	2
51	32	2	2
50	33	2	2
49	34	2	2
48	35	2	2
47	36	2	2
46	37	2	2
45	38	2	2
44	39	1	2
43	40	1	1
42	41	0	0
41	42	0	0
54	30	1	1
53	31	1	1
