N	Z	P1n	P2n	P3n	P4n	P5n	Element
137	67	0	5.9	0.3	15.5	73.2	Ho
138	67	5	0	13.6	0.8	75.2	Ho
139	67	0	4.7	0	10.8	80.5	Ho
140	67	4.2	0	10.5	0.6	79.1	Ho
141	67	0	3.7	0	6.8	86	Ho
142	67	3.3	0	6.5	0	85.6	Ho
143	67	0	2.3	0	5.6	89	Ho
144	67	2.7	0	4.6	0	88.5	Ho
145	67	0	1.2	0	3.9	92	Ho
146	67	2.9	0	3.2	0	86.9	Ho
147	67	0	1.4	0	4.9	90.4	Ho
148	67	1.8	0	2.5	0	91.1	Ho
149	67	0	0.5	0	3.1	93.6	Ho
150	67	0.5	0	1.4	0	94.5	Ho
151	67	0	0.2	0	1	96.3	Ho
152	67	0.1	0	0.4	0	96.3	Ho
153	67	0	0	0	0.6	96.9	Ho
154	67	0	0	0.1	0	97	Ho
155	67	0	0	0	0.3	97.9	Ho
157	67	0	0	0	0.2	98.1	Ho
95	68	0	0	0	0	0	Er
97	68	0	0	0	0	0	Er
101	68	0	0	0	0	0	Er
103	68	0	0	0	0	0	Er
104	68	0	0	0	0	0	Er
105	68	0	0	0	0	0	Er
106	68	0	0	0	0	0	Er
107	68	0.2	0	0	0	0	Er
108	68	0	0	0	0	0	Er
109	68	0.7	0	0	0	0	Er
110	68	0	0	0	0	0	Er
111	68	1.2	0.1	0	0	0	Er
112	68	0.6	0	0	0	0	Er
113	68	1.9	0.5	0	0	0	Er
114	68	1.5	0	0	0	0	Er
115	68	2.4	0.8	0	0	0	Er
116	68	2.1	0.2	0	0	0	Er
117	68	2.8	1	0.2	0	0	Er
118	68	3.1	0.5	0	0	0	Er
119	68	4.6	1.1	0.4	0.1	0	Er
120	68	3.3	0.7	0.2	0	0	Er
121	68	4.7	1.3	0.4	0.2	0	Er
122	68	4.4	0.8	0.4	0	0	Er
123	68	8.9	1.6	0.5	0.3	0.1	Er
124	68	5.9	0.9	0.5	0.2	0	Er
125	68	19.2	2.2	0.5	0.4	0.2	Er
126	68	12.9	1.2	0.6	0.3	0.2	Er
127	68	68	10.2	0.9	0.6	0.6	Er
128	68	67.5	15.4	1.9	0.6	0.7	Er
129	68	7.2	64.3	14.8	2	1.3	Er
130	68	11.9	13.6	52.4	2.2	1.7	Er
131	68	6.8	13	9	54.2	4	Er
132	68	11	5.3	34.1	15.3	7.1	Er
133	68	9	14.2	3.9	22.5	34.1	Er
134	68	11.7	2.9	13.3	22.6	19.1	Er
135	68	8.4	16.5	3.4	7.5	47.6	Er
136	68	12.3	2.4	7.1	8.4	35.6	Er
137	68	5.1	14.3	3.3	5.7	55.9	Er
138	68	9.7	1.7	5.8	6.4	47.8	Er
139	68	3.5	14.1	3.8	4.9	58.2	Er
140	68	9.4	1.9	3.9	2.8	51.5	Er
141	68	2.9	13.5	4.1	6	57.3	Er
142	68	9.5	2.1	3.6	1.6	54.6	Er
143	68	1	13.7	2.2	8.6	59	Er
144	68	8.7	2.6	3.9	1.3	56.7	Er
145	68	1.3	11.6	2.9	9.6	60.2	Er
146	68	8.8	1.4	5.7	0.9	56.8	Er
147	68	0.9	10.3	2.6	8.8	57.9	Er
148	68	6.3	1.5	5.2	1.2	53	Er
149	68	0	9.9	0	11.5	62.5	Er
150	68	6	0.7	5.4	1.2	57	Er
151	68	0	5.8	0.5	9.9	70.6	Er
152	68	5.4	0	4.9	0.5	61.6	Er
153	68	0	3.7	0	9.4	76.3	Er
154	68	3.7	0	4.7	0	65.2	Er
155	68	0	0.7	0	2.3	92.5	Er
156	68	1	0	4.2	0	80.8	Er
157	68	0	0.1	0	1	94.8	Er
158	68	0	0	1	0	85.9	Er
159	68	0	0	0	0.5	95.8	Er
101	69	0	0	0	0	0	Tm
102	69	0	0	0	0	0	Tm
103	69	0	0	0	0	0	Tm
104	69	0	0	0	0	0	Tm
105	69	0.9	0	0	0	0	Tm
106	69	0	0	0	0	0	Tm
107	69	1.3	0	0	0	0	Tm
108	69	0.7	0	0	0	0	Tm
109	69	1.5	0.4	0	0	0	Tm
110	69	1.2	0	0	0	0	Tm
111	69	2	0.6	0	0	0	Tm
112	69	2.3	0.1	0	0	0	Tm
113	69	2.9	0.8	0.1	0	0	Tm
114	69	3.4	0.4	0	0	0	Tm
115	69	5	1	0.3	0	0	Tm
116	69	5.3	0.6	0.1	0	0	Tm
117	69	8.5	1.5	0.3	0.1	0	Tm
118	69	14.9	0.8	0.4	0	0	Tm
119	69	26.3	1.8	0.4	0.3	0	Tm
120	69	19	1	0.5	0.1	0	Tm
121	69	27.5	2.4	0.4	0.4	0.1	Tm
122	69	47.8	1.2	0.6	0.2	0	Tm
123	69	70	3.1	0.6	0.4	0.2	Tm
124	69	72.5	1.6	0.8	0.3	0.2	Tm
125	69	74.8	4.7	0.6	0.5	0.4	Tm
126	69	80.9	2.1	0.9	0.3	0.4	Tm
127	69	26.5	62.4	1.2	0.8	0.7	Tm
128	69	26.1	64.1	4.3	0.7	0.9	Tm
129	69	2.2	37	52	3.4	1.5	Tm
130	69	11.6	9.3	65.8	5.5	2.4	Tm
131	69	1.7	17.3	7.3	62	6.2	Tm
132	69	13.4	9.9	15.2	16.1	36.7	Tm
133	69	2.3	16.6	9.6	14.2	49.3	Tm
134	69	12.1	8.4	16.9	4	48.3	Tm
135	69	2.5	11.7	9.8	16.5	50.8	Tm
136	69	10.7	7.2	19.7	2.5	48.3	Tm
137	69	1.3	9.7	5.1	17.3	60.1	Tm
138	69	10.1	3.3	17.7	1.7	58.9	Tm
139	69	0.8	8.3	2.8	19.3	62.2	Tm
140	69	8.3	2.7	17.7	2.3	60.9	Tm
141	69	0.6	7.5	1.8	19.2	64.3	Tm
142	69	7.5	1.7	17.7	3	62.1	Tm
143	69	0	7.2	0.1	18.2	68.7	Tm
144	69	5.9	0.8	15.9	2.5	68.1	Tm
145	69	0	5.2	0.3	13.5	76.7	Tm
146	69	5.6	0	14.5	1.3	72.8	Tm
147	69	0	5.6	0	11.9	70.9	Tm
148	69	4.8	0	12.8	0	71.8	Tm
149	69	0	5.5	0	10.2	79.2	Tm
150	69	4.2	0	9.1	0	80.2	Tm
151	69	0	3	0	6.3	87.1	Tm
152	69	3.2	0	5.9	0	86.4	Tm
153	69	0	1.1	0	5.1	90.8	Tm
154	69	1.5	0	3.9	0	90.9	Tm
155	69	0	0.6	0	2.3	94.5	Tm
156	69	0.7	0	1.8	0	94.2	Tm
157	69	0	0.3	0	1.3	95.7	Tm
158	69	0.4	0	0.8	0	95.3	Tm
159	69	0	0.1	0	0.5	97.4	Tm
160	69	0	0	0.2	0	97.2	Tm
161	69	0	0	0	0.4	97.6	Tm
99	70	0	0	0	0	0	Yb
105	70	0	0	0	0	0	Yb
107	70	0	0	0	0	0	Yb
108	70	0	0	0	0	0	Yb
109	70	0	0	0	0	0	Yb
110	70	0	0	0	0	0	Yb
111	70	0.2	0	0	0	0	Yb
112	70	0	0	0	0	0	Yb
113	70	0.8	0	0	0	0	Yb
114	70	0	0	0	0	0	Yb
115	70	1.4	0.1	0	0	0	Yb
116	70	0.7	0	0	0	0	Yb
117	70	1.7	0.4	0	0	0	Yb
118	70	1.8	0	0	0	0	Yb
119	70	2.8	0.8	0	0	0	Yb
120	70	2.3	0.2	0	0	0	Yb
121	70	3	1	0.2	0	0	Yb
122	70	3.1	0.6	0	0	0	Yb
123	70	4.9	1.1	0.4	0.1	0	Yb
124	70	4	0.7	0.3	0	0	Yb
125	70	6	1.4	0.4	0.3	0	Yb
126	70	5.6	0.9	0.5	0.1	0	Yb
127	70	60.7	3.7	0.6	0.4	0.3	Yb
128	70	74.4	4.1	1.1	0.4	0.4	Yb
129	70	12.7	67.2	3	1	0.8	Yb
130	70	25.5	41.1	7.7	1	1	Yb
131	70	10.3	32.6	29.4	6.7	1.9	Yb
132	70	16.3	35.5	15.9	1.7	2.5	Yb
133	70	10.4	16.1	32.1	17.5	4.2	Yb
134	70	13.8	7.9	33	3.5	3.7	Yb
135	70	13.7	14.6	6.4	32.3	8.1	Yb
136	70	13	7.8	39.9	4.3	4.8	Yb
137	70	9.7	13.1	6.4	37.6	14.4	Yb
138	70	10.1	5.6	36	9.2	6.5	Yb
139	70	7.5	13.9	3.6	27.8	27.9	Yb
140	70	9.2	3.8	27	16.8	10.6	Yb
141	70	7.1	14.3	3	11.1	44.2	Yb
142	70	9.4	2.8	11.5	21.9	20.9	Yb
143	70	4.8	15.3	2.4	7.5	49.9	Yb
144	70	9.8	2.4	6.4	9.5	40.6	Yb
145	70	5.5	13.9	4.2	5.4	54.4	Yb
146	70	10.1	2.3	4.9	4.1	49.4	Yb
147	70	4.9	11.1	3.8	4.6	41.9	Yb
148	70	8.4	2.3	3.8	2.2	42.9	Yb
149	70	2.7	14.1	2.5	7	49.5	Yb
150	70	7.9	2.8	3.9	2	47.7	Yb
151	70	3.4	12.8	3.6	7.7	54.2	Yb
152	70	7.5	2.5	4.6	1.6	50.9	Yb
153	70	1.4	13.3	2.4	8.6	57.8	Yb
154	70	7.2	1.7	5.3	1.4	53.6	Yb
155	70	1	10.7	2.7	8.9	62.8	Yb
156	70	6.7	1.2	5.2	1.5	52.7	Yb
157	70	0	10.3	1.2	10.8	63.6	Yb
158	70	5.9	0.7	4.4	1.3	56.3	Yb
159	70	0	7.2	0	11.3	70	Yb
160	70	4.4	0.3	3.9	0.9	59.8	Yb
161	70	0	3.6	0	11.1	76.2	Yb
162	70	2.8	0	3.3	0.7	63.4	Yb
163	70	0	1.5	0	5.1	86.4	Yb
164	70	0.5	0	3.2	0	81.3	Yb
106	71	0	0	0	0	0	Lu
107	71	0	0	0	0	0	Lu
108	71	0	0	0	0	0	Lu
109	71	0.9	0	0	0	0	Lu
110	71	0	0	0	0	0	Lu
111	71	1.3	0	0	0	0	Lu
112	71	0.7	0	0	0	0	Lu
113	71	1.2	0.3	0	0	0	Lu
114	71	1.2	0	0	0	0	Lu
115	71	2.2	0.6	0	0	0	Lu
116	71	2.7	0.1	0	0	0	Lu
117	71	3.3	0.9	0.1	0	0	Lu
118	71	4.4	0.5	0	0	0	Lu
119	71	8.6	1.2	0.3	0	0	Lu
120	71	7.5	0.8	0.2	0	0	Lu
121	71	8.9	1.6	0.4	0.1	0	Lu
122	71	15.3	0.9	0.4	0	0	Lu
123	71	27.5	2	0.5	0.3	0	Lu
124	71	36.2	1.1	0.6	0.1	0	Lu
125	71	46.7	2.6	0.5	0.4	0.1	Lu
126	71	67.5	1.5	0.7	0.3	0.1	Lu
127	71	71.3	14.6	0.8	0.6	0.4	Lu
128	71	64.7	26.2	2	0.5	0.6	Lu
129	71	5.9	77.5	7.6	1.5	1	Lu
130	71	17.7	16.4	55.1	1.5	1.3	Lu
131	71	3.9	24.9	23	37.2	2.3	Lu
132	71	17.9	11.6	47.4	5	4	Lu
133	71	3.3	22.7	7.6	44.8	6.1	Lu
134	71	16.3	9.3	36	12.6	6.7	Lu
135	71	2.5	18.4	7	37.1	13.2	Lu
136	71	13.8	7	19.3	18.2	11.8	Lu
137	71	2.6	17.3	10.3	22.4	39.4	Lu
138	71	15.8	8.1	15.7	20.2	30.2	Lu
139	71	1.7	16.4	7.4	15.3	50.8	Lu
140	71	14.5	7.1	13.4	7.9	46.9	Lu
141	71	1.4	13.6	6.5	14.4	56.2	Lu
142	71	14.1	6.3	13.8	3.6	51.6	Lu
143	71	0.8	14	4	16.6	56	Lu
144	71	11.9	5.1	15.8	2.2	55.8	Lu
145	71	1.2	10.1	4.7	17.8	59.7	Lu
146	71	9.7	4.1	17.5	2.3	58.7	Lu
147	71	1.1	7.8	3.4	18.6	64	Lu
148	71	9.5	3.3	15.3	2.5	46.4	Lu
149	71	0	9.5	1	19.8	55.2	Lu
150	71	8.6	2.2	18	2.4	56.7	Lu
151	71	0.4	7.5	1.3	19	64.4	Lu
152	71	7.6	1	18.2	2.4	62.9	Lu
153	71	0	6.9	0	17.6	70.8	Lu
154	71	6.7	0.3	16.7	1.6	69.3	Lu
155	71	0	5.9	0	14.3	75.7	Lu
156	71	6.2	0	15.3	0.3	73.3	Lu
157	71	0	2.7	0	10.4	83.4	Lu
158	71	3.7	0	10.7	0	81.3	Lu
159	71	0	1.4	0	6.3	89.2	Lu
160	71	1.9	0	6.7	0	87.5	Lu
161	71	0	0.8	0	3.7	92.7	Lu
162	71	1.1	0	3.3	0	91.9	Lu
163	71	0	0.5	0	1.7	95.2	Lu
164	71	0.3	0	0.6	0	96.5	Lu
165	71	0	0.2	0	0.5	97.3	Lu
166	71	0.1	0	0.3	0	97.1	Lu
103	72	0	0	0	0	0	Hf
109	72	0	0	0	0	0	Hf
110	72	0	0	0	0	0	Hf
111	72	0	0	0	0	0	Hf
112	72	0	0	0	0	0	Hf
113	72	0	0	0	0	0	Hf
114	72	0	0	0	0	0	Hf
115	72	0.2	0	0	0	0	Hf
116	72	0	0	0	0	0	Hf
117	72	0.6	0	0	0	0	Hf
118	72	0	0	0	0	0	Hf
119	72	1.7	0.1	0	0	0	Hf
120	72	1.1	0	0	0	0	Hf
121	72	2	0.5	0	0	0	Hf
122	72	2.2	0	0	0	0	Hf
123	72	3.2	0.9	0	0	0	Hf
124	72	3	0.4	0	0	0	Hf
125	72	3.6	1.1	0.3	0	0	Hf
126	72	3.9	0.7	0.2	0	0	Hf
127	72	23.5	2.2	0.5	0.4	0.1	Hf
128	72	69.2	2.3	0.8	0.3	0.1	Hf
129	72	25.1	52.9	1.6	0.7	0.5	Hf
130	72	58.1	9	2.8	0.6	0.5	Hf
131	72	16.8	53.1	3.9	2.2	1.1	Hf
132	72	41.5	15.4	2.9	0.7	1.3	Hf
133	72	13.2	42.5	7.4	2.3	1.9	Hf
134	72	27.8	21.9	4.4	0.8	1.6	Hf
135	72	11.6	32.1	15	3.6	2.3	Hf
136	72	18.8	24.3	6.9	0.9	1.9	Hf
137	72	9.3	14.3	22.6	5.9	2.7	Hf
138	72	8.2	14.4	7.1	0.8	1.7	Hf
139	72	11.4	16.5	31.1	18.9	4.7	Hf
140	72	13.3	27.1	23.7	2.3	3.3	Hf
141	72	10.4	14	15.7	36.5	6.9	Hf
142	72	10.3	14.5	33.6	3.5	4	Hf
143	72	8.2	13.2	6.3	39	9.8	Hf
144	72	9.5	7.3	36	6.7	5.4	Hf
145	72	9	12.7	4.5	30.7	22.8	Hf
146	72	9.8	4.3	29.5	14.5	9.3	Hf
147	72	8.5	12.9	3.9	14.3	42.2	Hf
148	72	8.1	3.1	11.9	19.8	13.5	Hf
149	72	5.5	12	2.2	8.2	36.8	Hf
150	72	8.3	2.8	7.2	12.2	28	Hf
151	72	7.8	11.9	4.1	5.6	46.1	Hf
152	72	8.3	2.9	5.4	6.3	39.7	Hf
153	72	6.4	12.7	3.8	5.9	49.6	Hf
154	72	8.2	3.1	4.8	3.5	41	Hf
155	72	6.3	13.3	3.6	6.4	48.2	Hf
156	72	7.8	2.9	4.8	2.4	44.8	Hf
157	72	4.7	14.3	3	7.1	51.2	Hf
158	72	7	2.6	4.9	2.3	47.5	Hf
159	72	4	14	3.6	6.8	55	Hf
160	72	6	2.3	4.8	2.2	49.9	Hf
161	72	1	15	2	8.2	58.1	Hf
162	72	5.2	2	4.2	2.2	52.7	Hf
163	72	0	13	1.7	9.8	62	Hf
164	72	5.3	1.3	3.7	1.7	56.1	Hf
165	72	0.1	3.5	1.1	9.5	80.5	Hf
166	72	7	0	5.5	0.7	69.8	Hf
167	72	0	1.6	0.3	4.9	88.4	Hf
168	72	4.6	0	4.8	0.8	73.2	Hf
109	73	0	0	0	0	0	Ta
110	73	0	0	0	0	0	Ta
111	73	0	0	0	0	0	Ta
112	73	0	0	0	0	0	Ta
113	73	0.9	0	0	0	0	Ta
114	73	0	0	0	0	0	Ta
115	73	1.2	0	0	0	0	Ta
116	73	0.7	0	0	0	0	Ta
117	73	1.2	0.3	0	0	0	Ta
118	73	1.3	0	0	0	0	Ta
119	73	1.6	0.5	0	0	0	Ta
120	73	2.6	0.1	0	0	0	Ta
121	73	2.9	0.9	0.1	0	0	Ta
122	73	6	0.6	0	0	0	Ta
123	73	8.8	1.3	0.3	0	0	Ta
124	73	12.7	0.9	0.3	0	0	Ta
125	73	14.4	1.8	0.4	0.2	0	Ta
126	73	32.4	1.1	0.6	0	0	Ta
127	73	73.2	5.1	0.6	0.4	0.2	Ta
128	73	84.6	6	1.3	0.4	0.3	Ta
129	73	11.9	76.3	2.6	0.9	0.6	Ta
130	73	30.8	47.1	11.1	0.9	0.8	Ta
131	73	9.5	55.1	19.4	4.4	1.4	Ta
132	73	25.6	32.5	21.8	1.2	1.9	Ta
133	73	8	31.7	31.4	7.7	2.4	Ta
134	73	21.5	15.1	36.5	1.6	2.4	Ta
135	73	5.7	22.5	24.5	15.7	2.9	Ta
136	73	16.1	8.6	31.8	2	2.6	Ta
137	73	2.5	5.2	2.5	6.4	1.7	Ta
138	73	22.2	10.9	51	5.7	5	Ta
139	73	3.8	24.4	9.2	50.1	8.4	Ta
140	73	20.3	10.3	45.5	11.3	7	Ta
141	73	2.8	22.1	8.3	47.1	15.8	Ta
142	73	19	9.2	32.2	22.3	11.5	Ta
143	73	1.7	8.7	2.5	12.3	11.4	Ta
144	73	18.8	8.4	17.3	26.3	23.5	Ta
145	73	1.8	18.7	8.1	16.4	51.3	Ta
146	73	11.3	4.7	8.7	6.1	28.2	Ta
147	73	2.1	15.5	7.8	12.8	55.1	Ta
148	73	15.3	6.2	10.8	4	41.7	Ta
149	73	1	17.2	4.2	13	47.7	Ta
150	73	15.2	5.9	12.3	2.5	44.8	Ta
151	73	1.5	15	5.6	14.5	50.5	Ta
152	73	14.3	5.3	15	2.4	51	Ta
153	73	1.6	14.8	5.3	16.7	49.7	Ta
154	73	13.9	5.3	16.3	2.8	49.8	Ta
155	73	1.4	12.8	4.3	19.4	55	Ta
156	73	12.3	3.8	18.8	2.4	54.6	Ta
157	73	0.3	10.8	2.3	22.1	59.5	Ta
158	73	10.4	2.3	20.6	2.1	58.8	Ta
159	73	0.1	7.6	1.3	21.6	65.3	Ta
160	73	8.2	1.4	20	2.7	62.8	Ta
161	73	0	5.2	0	19.6	71.6	Ta
162	73	6	0.8	17.7	2.8	68.3	Ta
163	73	0	2.6	0	14.7	79.4	Ta
164	73	3.7	0	14.8	0.6	76.9	Ta
165	73	0	1.4	0	6.7	88.9	Ta
166	73	2	0	8.2	0	86.2	Ta
167	73	0	0.5	0	1.4	95.9	Ta
168	73	0.6	0	1.5	0	95.1	Ta
169	73	0	0.3	0	0.9	96.6	Ta
170	73	0.4	0	0.8	0	96.2	Ta
107	74	0	0	0	0	0	W
111	74	0	0	0	0	0	W
113	74	0	0	0	0	0	W
114	74	0	0	0	0	0	W
115	74	0	0	0	0	0	W
116	74	0	0	0	0	0	W
117	74	0	0	0	0	0	W
118	74	0	0	0	0	0	W
119	74	0.2	0	0	0	0	W
120	74	0	0	0	0	0	W
121	74	0.7	0	0	0	0	W
122	74	0.3	0	0	0	0	W
123	74	1.9	0.2	0	0	0	W
124	74	1.8	0	0	0	0	W
125	74	2.7	0.7	0	0	0	W
126	74	2.9	0.2	0	0	0	W
127	74	7.2	1.6	0.3	0.1	0	W
128	74	48.6	1.5	0.6	0	0	W
129	74	56.9	12.9	1	0.5	0.2	W
130	74	53.3	2.8	1.5	0.5	0.1	W
131	74	42	23.9	1.4	1.1	0.6	W
132	74	45.7	3.3	1.3	0.4	0.7	W
133	74	24.2	36.7	1.8	1.1	1.1	W
134	74	46.9	5	1.6	0.5	0.9	W
135	74	17.2	38	2.5	1.2	1.3	W
136	74	39	6.2	1.8	0.5	1	W
137	74	11.6	31.8	3.6	1.3	1.4	W
138	74	18.6	4.9	1.4	0.4	0.9	W
139	74	15.4	49.8	10.1	2.8	2.2	W
140	74	40.3	21.5	4.6	0.9	1.8	W
141	74	13.2	41.4	19.1	4.6	2.7	W
142	74	28	31.2	6.6	1.1	2.1	W
143	74	10.9	28.1	30.4	8.6	3.3	W
144	74	13.5	25.4	8	1.1	2	W
145	74	11.6	16.4	33	16.2	4.4	W
146	74	8.9	15.7	13.8	1.2	2.2	W
147	74	8.5	10.2	14.1	25.4	5	W
148	74	9	11.8	25.7	2.6	3.1	W
149	74	7.6	11.1	7.1	33.2	7.1	W
150	74	8.8	7.6	32.1	5.3	4.5	W
151	74	9.4	10.1	5	29.5	14.3	W
152	74	8.1	4.8	23.5	8.6	5.8	W
153	74	9.2	10.5	3.9	16.6	26.3	W
154	74	8.5	3.8	14.6	18.6	10.6	W
155	74	9.1	11	3.8	10	37.3	W
156	74	8.2	3.5	9.3	15.3	22.6	W
157	74	8.2	11.5	3.7	7.6	42.9	W
158	74	8	3.3	6.9	7.7	35.3	W
159	74	8.1	11.9	3.6	6.5	46.9	W
160	74	6.9	3.5	5.5	5.3	41.1	W
161	74	6.6	12.8	2.9	6.7	49.7	W
162	74	6.2	3.3	5	3.7	45.2	W
163	74	4.6	14.1	2.3	6.8	52.3	W
164	74	6.1	2.5	5	2.9	48.4	W
165	74	5.8	13.3	3.8	5.6	56.4	W
166	74	6.3	1.7	4.8	2.2	51.5	W
167	74	1.7	10.2	4.5	7.8	69.5	W
168	74	6.8	2.1	3.9	1.9	64.2	W
169	74	0.5	7.9	2.8	10.2	72.6	W
170	74	6.1	1.7	3.9	1.5	66.9	W
171	74	0.2	4	1.6	9.9	79	W
172	74	5.2	1.1	4	1.2	69.6	W
173	74	0	2.2	0.1	6.7	86.4	W
111	75	0	0	0	0	0	Re
113	75	0	0	0	0	0	Re
114	75	0	0	0	0	0	Re
115	75	0.3	0	0	0	0	Re
116	75	0	0	0	0	0	Re
117	75	0.8	0	0	0	0	Re
118	75	0.1	0	0	0	0	Re
119	75	1.2	0	0	0	0	Re
120	75	0.9	0	0	0	0	Re
121	75	1.2	0.3	0	0	0	Re
122	75	1.6	0	0	0	0	Re
123	75	2.6	0.7	0	0	0	Re
124	75	5.6	0.4	0	0	0	Re
125	75	6.8	1.3	0.2	0	0	Re
126	75	11.7	0.9	0.1	0	0	Re
127	75	48.6	2.7	0.4	0.3	0	Re
128	75	84.3	2.7	0.8	0.3	0	Re
129	75	25.2	62.2	1.4	0.6	0.3	Re
130	75	68.9	14.6	3.1	0.6	0.4	Re
131	75	18.4	63.5	2.9	1.7	0.8	Re
132	75	49.3	23.5	3.4	0.6	1	Re
133	75	15.3	53.8	4.1	1.8	1.3	Re
134	75	33.7	28	4.6	0.7	1.2	Re
135	75	11.1	41.6	6.8	2	1.5	Re
136	75	19.7	19.9	6.3	0.6	1.3	Re
137	75	5.7	16.6	8.4	1.8	1.3	Re
138	75	22.5	22.9	15.3	0.9	1.7	Re
139	75	7.5	20.6	21.2	5.5	2	Re
140	75	10.4	8.2	14.9	0.8	1.5	Re
141	75	7.1	27.8	33.5	23.4	3.7	Re
142	75	22.6	15.2	49.2	2.8	3.3	Re
143	75	5.5	25.1	15.6	44.5	4.9	Re
144	75	7.1	3.3	14.2	1.4	1.9	Re
145	75	3.8	14.2	6.6	32	5.4	Re
146	75	15.2	5.8	32.1	6.3	4.6	Re
147	75	3.7	17.3	6.4	37.4	10.7	Re
148	75	16.8	6.8	27.2	19.4	8.5	Re
149	75	3.6	21	5.1	31.4	20.4	Re
150	75	19.1	6.6	16.2	23.8	16.8	Re
151	75	3.2	20.2	5.9	16.5	41.2	Re
152	75	19.3	6.6	11.1	9.5	27.5	Re
153	75	3.1	21.9	5.7	12.1	39.2	Re
154	75	20.3	6.8	11.5	5.2	39.3	Re
155	75	3	21.3	6.7	11.6	45.8	Re
156	75	19.4	7.2	12.1	3.6	45.4	Re
157	75	2.5	20.6	6.1	13	49.8	Re
158	75	18.3	6.5	13.5	2.9	49.7	Re
159	75	1.9	18.2	6.2	14.7	53.6	Re
160	75	16.2	6.6	14.4	3	52.8	Re
161	75	0.8	15	5.4	17.3	57	Re
162	75	13.3	6.7	15.6	2.7	55.9	Re
163	75	0.2	12.2	2.5	21.2	59.7	Re
164	75	10.7	4.5	18.5	2.2	59.2	Re
165	75	0.2	6.4	2.6	21.9	65.2	Re
166	75	7.9	2.2	20.5	2.2	62.8	Re
167	75	0	4	0.9	20.6	71	Re
168	75	2.1	0.3	12.9	2.5	79.2	Re
169	75	0	1.3	0	6.8	89.4	Re
170	75	1.6	0	8.2	1.2	86.2	Re
171	75	0	0.8	0	2.8	94	Re
172	75	1	0	4.2	0	92.1	Re
173	75	0	0.6	0	1.5	95.8	Re
174	75	0.6	0	1.7	0	95	Re
175	75	0	0.3	0	0.8	96.8	Re
109	76	0	0	0	0	0	Os
115	76	0	0	0	0	0	Os
117	76	0	0	0	0	0	Os
118	76	0	0	0	0	0	Os
119	76	0	0	0	0	0	Os
120	76	0	0	0	0	0	Os
121	76	0	0	0	0	0	Os
122	76	0	0	0	0	0	Os
123	76	0.4	0	0	0	0	Os
124	76	0	0	0	0	0	Os
125	76	1.8	0	0	0	0	Os
126	76	1.6	0	0	0	0	Os
127	76	3.7	1.2	0.1	0	0	Os
128	76	17.5	1.1	0.1	0	0	Os
129	76	51.4	4.5	0.7	0.3	0	Os
130	76	33.4	1.6	1.1	0.1	0	Os
131	76	55.1	6	0.9	0.8	0.3	Os
132	76	36.1	1.7	0.9	0.3	0.2	Os
133	76	46.1	8.3	0.9	0.7	0.6	Os
134	76	37.2	1.9	0.9	0.3	0.4	Os
135	76	37.7	11.7	1	0.7	0.7	Os
136	76	36	2	1	0.3	0.5	Os
137	76	22.2	16.7	1.1	0.6	0.8	Os
138	76	9.6	0.9	0.5	0.2	0.5	Os
139	76	27.4	43.7	2.4	1.2	1.3	Os
140	76	55.4	5.4	1.8	0.5	1	Os
141	76	20.4	50	3.4	1.5	1.5	Os
142	76	53.3	7.8	2.2	0.6	1.2	Os
143	76	11.2	34.9	3.7	1.4	1.5	Os
144	76	34.7	8.5	2	0.6	1.2	Os
145	76	11.2	36.8	8.6	2.2	1.9	Os
146	76	29	16.1	3.2	0.7	1.4	Os
147	76	9.7	30.2	19.3	3.7	2.4	Os
148	76	20.4	30.3	5.9	1	1.9	Os
149	76	9.2	21	26.3	6.5	2.8	Os
150	76	15.1	30.3	9.9	1.3	2.2	Os
151	76	9.8	13.8	24.1	11	3.4	Os
152	76	11.9	20.8	16.8	1.7	2.5	Os
153	76	9.8	11.3	14.3	21.9	4.4	Os
154	76	10	11.5	26.6	2.7	3.2	Os
155	76	10.7	10.5	9.1	30.4	7.2	Os
156	76	9.3	8.2	30.4	5.1	4.3	Os
157	76	10.4	10.4	6.3	31.1	12.7	Os
158	76	8.8	6	26.8	11.7	6.6	Os
159	76	10.3	10.2	5.1	20	28.1	Os
160	76	8	5	15.4	22.1	10.9	Os
161	76	9.8	10.3	4.4	12.3	39	Os
162	76	7	4.6	10.4	18.7	21.7	Os
163	76	7.8	11.3	3.4	9.8	44.1	Os
164	76	7.2	3.7	8	9	36.3	Os
165	76	11	10.8	3.7	6.4	50.2	Os
166	76	6.9	3.1	6.5	6.1	42.8	Os
167	76	7.6	12.6	2.9	6.2	52.6	Os
168	76	6.4	2.7	5.3	4.4	47.4	Os
169	76	6.7	13.2	3.1	5.4	55.7	Os
170	76	7.7	2.4	4.2	2.8	62	Os
171	76	2.6	12.2	4.2	6.1	68.5	Os
172	76	10.1	1.1	5	1.1	65.5	Os
173	76	0.6	11.3	2.8	8.3	70.7	Os
174	76	6	2.3	3.5	1.9	66.6	Os
175	76	0.6	5.6	3.6	9.4	75.7	Os
176	76	5.9	1.5	3.9	1.5	69.3	Os
177	76	0.1	2.6	1.2	8.7	83	Os
115	77	0	0	0	0	0	Ir
117	77	0	0	0	0	0	Ir
118	77	0	0	0	0	0	Ir
119	77	0.2	0	0	0	0	Ir
120	77	0	0	0	0	0	Ir
121	77	0.8	0	0	0	0	Ir
